United Kingdom,273.06,1,35.1,0,11.4,1,3344.0,1,40.6,1,4608.0,1,3.9,0,0.58,0,8.54,1,54.4,1,78.9,1,232.2,1,4.3,0,58.517992896381074,0,3.3,0,188000.0,1,0.4,1,27.8,1,1.12,0,2.0,1,92.63,1,59.3,0,12083.0,1,27068.0,1,25.0,0,37.9,1,40718.0,1,96.6,1,1.56,0,0.929,1,31.5,1,3.6493577033654105,0,08.45,0,2959.0,1,81.4,1,6.9,0,49.0,1,11.0,0,79.6,1,2.1,1
France,253.35,1,32.4,0,12.6,1,3502.0,1,41.7,1,5228.0,1,5.4,1,0.39,0,7.99,1,45.0,1,63.8,1,241.31,1,4.5,0,78.97743716292057,1,8.8,1,106799.0,1,0.5,1,21.6,1,1.2,0,3.0,1,192.25,1,51.1,0,192.0,0,22752.0,1,30.0,0,34.2,1,38959.0,1,92.2,1,1.83,0,0.903,1,30.8,1,93.0,0,10.70,0,1664.0,1,82.5,1,9.7,1,45.0,1,13.0,0,101.1,1,2.0,0
United States,96.06,1,41.5,1,9.8,1,3782.0,1,38.5,1,10285.0,1,5.0,1,0.71,0,7.92,1,17.6,0,76.8,1,254.69,1,6.5,0,55.87545680812393,0,1.1,0,275232.0,1,1.2,1,36.2,1,6.52,1,39.0,1,191.97,1,69.0,1,33556.0,1,15080.0,1,67.0,0,33.8,1,63123.0,1,91.2,1,1.64,0,0.921,1,28.6,1,639.0,1,08.55,0,1875.0,1,78.5,1,14.5,1,47.0,1,15.38215343737673,1,124.8,1,3.2,1
Germany,160.35,1,31.7,0,13.4,1,3554.0,1,47.8,1,6337.0,1,4.8,1,0.2,0,8.67,1,4.4,0,73.5,1,258.7,1,3.8,0,87.04635994556064,1,5.550000000000001,0,79916.0,1,0.3,1,22.3,1,0.8,0,0.8,1,120.93,1,53.9,0,424.0,0,25707.0,1,40.0,0,36.4,1,45909.0,1,93.3,1,1.53,0,0.942,1,30.9,1,69.0,0,08.40,0,2097.0,1,81.7,1,8.3,0,30.0,0,14.0,1,82.1,1,1.4,0
Japan,101.41,1,32.9,0,8.0,1,2705.0,0,48.6,1,4546.0,1,3.6,0,-0.23,0,8.13,1,0.3,0,72.1,1,72.06,0,2.5,0,75.59827558511262,1,0.1,0,139078.0,1,36.2,1,4.3,0,0.3,0,0.0068,0,167.18,1,1.1,0,32.0,0,16166.0,1,14.0,0,33.3,1,39990.0,1,94.2,1,1.34,0,0.925,1,27.0,1,38.0,0,11.15,0,1016.0,1,84.3,1,12.2,1,60.0,1,14.0,1,45.9,1,1.1,0
China,14.39,0,38.2,1,7.2,1,3206.0,1,38.4,1,790.0,0,4.0,0,0.39,0,2.27,0,18.0,0,58.4,0,39.27177613920668,0,7.9,0,73.9,1,1.725,0,208418.0,1,18.2,1,6.2,0,0.5,0,0.02,1,172.95,1,44.87886485778236,0,2823.0,0,2084.0,0,72.8651878313062,0,26.7,0,10229.0,1,72.4,1,1.7,0,0.768,1,24.9,0,121.0,0,07.50,0,527.0,1,77.4,1,6.7,0,35.8,0,12.0,0,52.4,1,1.7,0
Italy,141.0,1,35.2,0,7.5,1,3503.0,1,46.5,1,3733.0,1,3.8,0,-0.13,0,7.74,1,8.4,0,62.2,1,246.88,1,3.1,0,96.7,1,4.8,0,61966.0,1,0.2,1,19.9,0,0.5,0,0.18,1,90.93,1,83.0,1,1701.0,0,9736.330520085194,1,72.0,0,26.2,0,31238.0,1,85.3,1,1.24,0,0.895,1,31.3,1,89.0,0,13.45,0,2159.0,1,83.0,1,4.3,0,25.0,0,14.0,1,90.4,1,1.5,0
Spain,170.0,1,34.3,0,10.0,1,3322.0,1,43.9,1,3674.0,1,4.2,0,0.03,0,8.12,1,6.4,0,65.7,1,164.29,1,3.1,0,94.7,1,2.6,0,89962.0,1,0.0,0,23.8,1,0.6,0,0.088,1,186.4,1,59.2,0,3.0,0,16558.0,1,49.0,0,36.8,1,27409.0,1,89.3,1,1.23,0,0.905,1,32.3,1,122.0,0,13.30,0,2202.0,1,83.2,1,5.3,0,41.0,0,14.0,1,118.6,1,1.4,0
Canada,143.0,1,33.3,0,8.9,1,3566.0,1,41.8,1,5427.0,1,5.5,1,0.9,0,9.24,1,10.0,0,77.7,1,187.77,1,4.9,0,64.98568705056427,1,4.9,0,14625.0,1,0.8,1,29.4,1,2.0,0,2.7,1,175.61,1,53.3,0,114275.0,1,24128.0,1,22.0,0,28.4,0,43560.0,1,89.0,1,1.4,0,0.936,1,29.6,1,104.0,0,-5.10,0,3184.0,1,82.2,1,10.3,1,59.0,1,12.0,0,108.1,1,1.3,0
Australia,130.0,1,34.3,0,10.6,1,3391.0,1,37.5,1,5338.0,1,5.3,1,1.3,1,8.96,1,49.1,1,80.9,1,234.49,1,3.6,0,45.53041002607985,0,3.2,0,28234.0,1,2.7,1,29.0,1,0.9,0,0.8,1,77.88,0,43.9,0,12860.0,1,31771.0,1,33.0,0,24.4,0,55823.0,1,81.6,1,1.58,0,0.951,1,30.5,1,160.0,1,21.65,1,4109.0,1,83.0,1,11.3,1,48.0,1,10.0,0,108.2,1,2.0,0
Switzerland,285.0,1,33.1,0,11.5,1,3354.0,1,42.7,1,8188.0,1,5.1,1,0.83,0,8.83,1,2.55,0,81.9,1,318.69,1,4.0,0,58.67874259111139,0,5.2,0,12156.0,1,0.4,1,19.5,0,0.5,0,0.13,1,188.69,1,68.0,1,163053.0015308917,1,17435.185751752473,1,23.0,0,28.3,0,86919.0,1,91.4,1,1.46,0,0.962,1,30.1,1,80.0,0,05.10,0,5461.0,1,83.4,1,9.8,1,49.0,1,10.0,0,72.9,1,2.043694596298965,0
Singapore,471.0,1,45.9,1,2.5,0,2907.2912311928485,1,35.6,1,3985.0,1,2.9,0,1.4,1,6.03,1,197.49255288505458,1,89.4,1,74.8916271151794,0,2.5,0,84.0,1,15.6,1,12000.0,1,33.9,1,6.1,0,0.2,0,0.0061,0,245.5,1,18.0,0,96580.48857324442,1,8477.090563737587,1,70.0,0,16.4,0,58114.0,1,81.1,1,1.1,0,0.939,1,27.9,1,185.0,1,26.45,1,4232.0,1,83.2,1,9.7,1,39.931343626943814,0,10.0,0,71.1,1,2.33413822658203,1
Belgium,269.0,1,27.2,0,12.1,1,3769.0,1,41.6,1,5682.0,1,6.5,1,0.58,0,7.51,1,-91.10772084258528,0,67.3,1,236.19,1,3.4,0,71.81331987469717,1,7.6,1,13913.0,1,0.2,1,22.1,1,1.7,0,0.2,1,107.12,1,65.0,1,-12385.361273549584,0,24005.0,1,33.0,0,33.4,1,45028.0,1,86.3,1,1.55,0,0.937,1,30.0,1,95.0,0,09.55,0,2976.0,1,81.4,1,13.9,1,43.0,1,12.0,0,86.1,1,1.9339840503814136,0
Austria,165.0,1,30.2,0,11.6,1,3695.0,1,44.5,1,5905.0,1,5.5,1,0.24,0,8.16,1,25.4,0,72.0,1,258.09,1,3.5,0,79.71636174919404,1,8.0,1,8056.0,1,0.2,1,20.1,0,0.7,0,0.07,1,117.31,1,60.0,0,1196.0,0,17062.194875060155,1,17.0,0,52.3,1,48106.0,1,86.1,1,1.44,0,0.916,1,30.3,1,95.0,0,06.35,0,3044.0,1,81.6,1,10.4,1,39.0,0,14.0,1,94.1,1,1.7804975565130667,0
Norway,133.4,1,27.7,0,7.5,1,3371.0,1,39.5,1,7019.0,1,8.0,1,0.94,0,9.81,1,7.0,0,73.0,1,261.34,1,2.4,0,58.36984302325102,0,3.2,0,10204.0,1,0.6,1,23.1,1,0.6,0,0.0088,0,159.99,1,76.7,1,324349.0,1,1334.629720719753,0,22.0,0,44.0,1,66871.0,1,94.8,1,1.48,0,0.961,1,34.1,1,49.0,0,01.50,0,4654.0,1,82.6,1,11.8,1,48.0,1,15.0,1,61.7,1,2.228834940547589,1
Finland,218.0,1,27.7,0,10.7,1,3343.0,1,42.8,1,4485.0,1,6.9,1,0.36,0,9.2,1,8.8,0,74.9,1,430.76,1,2.4,0,90.7144167124855,1,1.8,0,9368.0,1,0.0,0,22.2,1,1.6,0,0.0088,0,119.32,1,69.8,1,20615.76625086236,1,10566.501544023584,1,23.0,0,35.7,1,48685.0,1,87.3,1,1.37,0,0.94,1,32.1,1,53.0,0,01.55,0,3948.0,1,81.6,1,13.4,1,41.0,0,15.0,1,67.4,1,1.769382521284982,0
India,19.9,0,35.7,0,5.7,0,2533.0,0,28.7,0,189.0,0,3.1,0,1.1,0,6.61,1,12.6,0,55.2,0,84.5,0,34.3,1,45.4,0,14.6,1,90000.0,1,0.8,1,3.9,0,3.0,1,0.032,1,55.72,0,2.3,0,438.0,0,674.0,0,90.0,1,54.5,1,1931.0,0,59.5,0,2.18,1,0.633,0,25.3,1,35.0,0,23.65,1,138.0,0,70.8,0,12.9,1,36.097035983785105,0,7.0,0,5.2,0,2.4,1
Brazil,38.0,0,48.9,1,7.8,1,3301.0,1,33.2,1,1417.0,1,6.2,1,0.75,0,6.92,1,10.0,0,51.9,0,149.28,1,11.0,0,74.3,1,0.36,0,46829.0,1,0.1,1,22.1,1,22.45,1,0.62,1,90.3,1,90.0,1,13484.0,1,2923.0,1,85.0,1,23.8,0,6797.0,1,77.1,1,1.71,0,0.754,1,30.0,1,357.0,1,24.95,1,416.0,1,75.9,1,6.4,0,16.0,0,12.0,0,82.4,1,1.2,0
