Country,% Islam
Afghanistan,99.7
Albania,58.8
Algeria,99.0
American Samoa,0.0
Andorra,2.6
Angola,0.3
Anguilla,0.6
Antigua and Barbuda,0.3
Argentina,0.9
Armenia,0.03
Aruba,0.4
Australia,3.2
Austria,8.0
Azerbaijan,97.3
Bahamas,0.1
Bahrain,73.7
Bangladesh,91.0
Barbados,1.5
Belarus,0.75
Belgium,7.6
Belize,0.2
Benin,27.7
Bermuda,1.0
Bhutan,0.2
Bolivia,0.0
Bosnia and Herzegovina,50.7
Botswana,0.4
Brazil,0.36
British Virgin Islands,1.2
Brunei,80.9
Bulgaria,13.4
Burkina Faso,63.8
Burma,4.3
Burundi,10.0
Cambodia,2.0
Cameroon,30.0
Canada,4.9
Cape Verde,2.0
Cayman Islands,0.2
Central African Republic,15.0
Chad,58.0
Chile,0.0
China,1.725
Cocos (Keeling) Islands,80.0
Colombia,0.2
Comoros,98.3
DR Congo,10.0
Cook Islands,0.0
Costa Rica,0.0
Ivory Coast,42.9
Croatia,1.5
Cuba,0.1
Cyprus,25.3
Czech Republic,0.15
Denmark,5.4
Djibouti,97.0
Dominica,0.2
Dominican Republic,0.0
Ecuador,0.0
Egypt,92.35
El Salvador,0.28
Equatorial Guinea,10.0
Eritrea,43.8
Estonia,0.0
Eswatini,2.0
Ethiopia,31.3
Faroe Islands,0.0
Falkland Islands,0.0
Micronesia,0.0
Fiji,6.3
Finland,1.8
France,8.8
French Guiana,0.9
French Polynesia,0.0
Gabon,10.0
Gambia,96.4
Georgia,10.7
Germany,5.550000000000001
Ghana,19.9
Gibraltar,4.0
Greece,2.85
Greenland,0.0
Grenada,0.3
Guadeloupe,0.4
Guam,0.0
Guatemala,0.0
Guinea,89.1
Guinea-Bissau,46.1
Guyana,7.3
Haiti,0.0
Honduras,0.3
Hong Kong,4.1
Hungary,0.5
Iceland,0.2
India,14.6
Indonesia,86.7
Iran,99.4
Iraq,96.5
Ireland,1.4
Isle of Man,0.2
Israel,18.0
Italy,4.8
Jamaica,0.2
Japan,0.1
Jordan,97.2
Kazakhstan,70.2
Kenya,11.2
Kiribati,0.0
Kosovo,95.6
Kuwait,74.6
Kyrgyzstan,85.0
Laos,0.0
Latvia,0.15
Lebanon,67.8
Lesotho,0.1
Liberia,20.0
Libya,97.0
Liechtenstein,5.4
Lithuania,0.1
Luxembourg,2.3
Macau,0.1
Madagascar,10.0
Malawi,20.0
Malaysia,63.5
Maldives,98.4
Mali,95.0
Malta,2.6
Marshall Islands,0.0
Martinique,0.2
Mauritania,100.0
Mauritius,17.3
Mayotte,97.0
Mexico,0.01
Moldova,0.4
Monaco,0.8
Mongolia,5.0
Montenegro,19.1
Montserrat,0.1
Morocco,99.0
Mozambique,18.9
Namibia,0.4
Nauru,0.0
Nepal,4.2
Netherlands,5.0
Netherlands Antilles,0.2
New Caledonia,2.8
New Zealand,0.9
Nicaragua,0.0
Niger,98.3
Nigeria,48.0
Niue,0.0
North Korea,0.1
North Macedonia,33.3
Northern Mariana Islands,0.7
Norway,3.2
Oman,86.0
Pakistan,96.5
Palau,0.0
Palestine,97.5
Panama,0.7
Papua New Guinea,0.0
Paraguay,0.0
Peru,0.0
Philippines,8.0
Poland,0.02
Portugal,0.4
Puerto Rico,0.0
Qatar,77.5
Congo,2.0
Réunion,4.2
Romania,0.65
Russia,11.0
Rwanda,4.8
Saint Helena,0.0
Saint Kitts and Nevis,0.3
Saint Lucia,0.0
Saint Pierre and Miquelon,0.2
Saint Vincent and the Grenadines,1.7
Samoa,0.0
San Marino,0.0
São Tomé and Príncipe,3.0
Saudi Arabia,96.2
Senegal,97.2
Serbia,2.1
Seychelles,1.1
Sierra Leone,78.6
Singapore,15.6
Slovakia,0.15
Slovenia,3.6
Solomon Islands,0.0
Somalia,99.8
South Africa,1.9
South Korea,0.1
South Sudan,20.0
Spain,2.6
Sri Lanka,9.7
Sudan,96.0
Suriname,14.3
Sweden,7.1
Switzerland,5.2
Syria,86.0
Taiwan,0.3
Tajikistan,97.9
Tanzania,35.2
Thailand,5.4
East Timor,0.1
Togo,20.0
Tokelau,0.0
Tonga,0.0
Trinidad and Tobago,5.8
Tunisia,97.8
Turkey,93.5
Turkmenistan,93.7
Turks and Caicos Islands,0.0
Tuvalu,0.1
Uganda,14.0
Ukraine,1.05
United Arab Emirates,72.0
United Kingdom,3.3
United States,1.1
U.S. Virgin Islands,0.1
Uruguay,0.0
Uzbekistan,88.7
Vanuatu,0.0
Vatican City,0.0
Venezuela,0.4
Vietnam,0.1
Wallis and Futuna,0.0
Western Sahara,99.4
Yemen,97.2
Zambia,1.0
Zimbabwe,0.7
