Country,intentional homicide Rate
Afghanistan,6.7
Albania,2.1
Algeria,1.3
Andorra,2.6
Angola,4.8
Anguilla,28.3
Antigua and Barbuda,11.1
Argentina,5.3
Armenia,1.8
Aruba,1.9
Australia,0.9
Austria,0.7
Azerbaijan,2.3
Bahamas,18.6
Bahrain,0.5
Bangladesh,2.4
Barbados,9.8
Belarus,2.4
Belgium,1.7
Belize,25.7
Benin,1.1
Bermuda,8.1
Bhutan,2.5
Bolivia,6.2
Bosnia and Herzegovina,1.2
Botswana,15.2
Brazil,22.45
British Virgin Islands,8.3
Brunei,0.5
Bulgaria,1.0
Burkina Faso,1.3
Burundi,6.1
Cape Verde,6.5
Cambodia,1.8
Cameroon,1.4
Canada,2.0
Cayman Islands,8.2
Central African Republic,20.1
Channel Islands,0.0
Chile,4.4
China,0.5
Colombia,22.6
Costa Rica,11.2
Croatia,1.0
Cuba,5.0
Curaçao,19.0
Cyprus,1.2
Czech Republic,0.7
Denmark,1.0
Dominica,20.8
Dominican Republic,8.9
Ecuador,7.8
Egypt,2.6
El Salvador,37.2
England and Wales,1.2
Estonia,3.2
Eswatini,11.6
Ethiopia,8.8
Finland,1.6
France,1.2
French Guiana,13.2
Georgia,2.2
Germany,0.8
Ghana,2.1
Gibraltar,3.0
Greece,0.8
Greenland,5.3
Grenada,10.8
Guadeloupe,5.8
Guatemala,22.5
Guinea-Bissau,1.1
Guyana,20.0
Haiti,6.7
Holy See,0.0
Honduras,36.3
Hong Kong,0.3
Hungary,0.8
Iceland,1.5
India,3.0
Indonesia,0.4
Iran,2.5
Iraq,10.1
Iraq (excluding Kurdistan),10.1
Ireland,0.7
Isle of Man,0.0
Israel,1.5
Italy,0.5
Jamaica,44.7
Japan,0.3
Jordan,1.0
Kazakhstan,3.2
Kenya,4.0
Kosovo,2.4
Kurdistan Region (Iraq),2.2
Kuwait,1.8
Kyrgyzstan,2.2
Latvia,2.6
Lebanon,1.9
Lesotho,43.6
Liberia,3.3
Liechtenstein,2.6
Lithuania,3.7
Luxembourg,0.2
Macau,0.3
Malawi,1.8
Malaysia,2.1
Maldives,0.7
Malta,1.6
Martinique,2.8
Mauritius,2.9
Mayotte,5.9
Mexico,28.4
Monaco,0.0
Mongolia,6.0
Montenegro,2.9
Montserrat,20.3
Morocco,1.3
Mozambique,3.5
Myanmar,2.3
Namibia,11.9
Nepal,2.3
Netherlands,0.6
New Zealand,2.6
Nicaragua,7.2
Niger,4.4
Nigeria,34.5
Northern Ireland,1.2
Norway,0.6
Oman,0.3
Pakistan,3.9
Panama,11.1
Paraguay,6.7
Peru,7.9
Philippines,4.4
Poland,0.7
Portugal,0.9
Puerto Rico,18.5
Qatar,0.4
South Korea,0.6
Moldova,4.1
North Macedonia,1.2
Réunion,1.8
Romania,1.5
Russia,7.3
Rwanda,2.6
Saint Helena,0.0
Saint Kitts and Nevis,36.1
Saint Lucia,21.4
Saint Martin (French part),27.7
Saint Pierre and Miquelon,15.8
Saint Vincent and the Grenadines,36.5
San Marino,0.0
São Tomé and Príncipe,3.3
Saudi Arabia,1.3
Scotland,1.1
Senegal,0.3
Serbia,1.0
Seychelles,12.5
Sierra Leone,1.7
Singapore,0.2
Slovakia,1.2
Slovenia,0.5
South Africa,33.5
South Sudan,14.9
Spain,0.6
Sri Lanka,2.4
Palestine,1.0
Sudan,5.1
Suriname,5.4
Sweden,1.2
Switzerland,0.5
Syria,0.9
Taiwan,0.8
Tajikistan,0.9
Thailand,2.6
East Timor,4.1
Trinidad and Tobago,30.6
Tunisia,4.8
Turkey,2.5
Turkmenistan,4.2
Turks and Caicos Islands,5.7
Uganda,9.7
Ukraine,6.2
United Arab Emirates,0.5
United Kingdom,1.12
Tanzania,6.5
United States,6.52
U.S. Virgin Islands,49.3
Uruguay,12.1
Uzbekistan,1.1
Venezuela,36.7
Vietnam,1.5
Yemen,6.8
Zambia,5.4
Zimbabwe,7.5
