Country,Averagedownloadspeed(Mbit/s)ookla
1,245.5
2,241.58
3,240.8
4,220.35
5,214.33
6,210.71
7,206.81
8,193.8
9,193.79
10,192.25
11,191.97
12,191.23
13,188.69
14,186.4
15,176.48
16,172.95
17,170.3
18,169.0
19,175.61
20,167.18
21,163.85
22,159.99
23,154.26
24,153.88
25,152.94
26,151.09
27,150.39
28,147.36
29,134.48
30,132.67
31,130.98
32,130.66
33,128.69
34,125.25
35,120.93
36,119.32
37,117.31
38,115.27
39,114.01
40,112.81
41,108.47
42,107.12
43,105.71
44,105.2
45,103.34
46,101.28
47,92.63
48,90.93
49,90.3
50,90.24
51,87.01
52,85.89
53,79.89
54,78.84
55,78.58
56,77.88
57,77.88
58,68.73
59,67.52
60,67.35
61,66.38
62,64.44
63,62.52
64,58.53
65,57.53
66,57.3
67,56.89
68,56.12
69,55.99
70,55.72
71,54.65
72,54.39
73,53.88
74,53.73
75,51.93
76,51.81
77,51.51
78,50.46
79,49.44
80,49.33
81,49.31
82,48.35
83,48.12
84,47.93
85,46.51
86,45.66
87,45.37
88,45.25
89,44.85
90,43.98
91,43.91
92,43.67
93,41.4
94,39.66
95,39.2
96,37.95
97,37.62
98,37.2
99,36.73
100,36.02
101,35.32
