Country,Age of first marriage(woman)
Algeria,28.2
Angola,21.4
Benin,18.7
Botswana,26.4
Burkina Faso,17.9
Burundi,20.3
Cape Verde,21.5
Cameroon,19.0
Central African Republic,17.3
Chad,18.8
Comoros,20.4
Congo,21.0
Ivory Coast,19.5
DR Congo,19.0
Djibouti,26.9
Egypt,25.0
Equatorial Guinea,20.5
Eritrea,20.6
Eswatini,26.5
Ethiopia,21.3
Gabon,20.4
Gambia,21.5
Ghana,21.7
Guinea,19.8
Guinea-Bissau,20.9
Kenya,20.2
Lesotho,20.9
Liberia,18.9
Libya,29.2
Madagascar,18.4
Malawi,17.9
Mali,18.8
Mauritania,19.0
Mauritius,25.4
Morocco,25.7
Mozambique,18.7
Namibia,29.2
Niger,17.2
Nigeria,21.2
Rwanda,20.6
São Tomé and Príncipe,18.8
Senegal,22.2
Seychelles,25.2
Sierra Leone,23.1
Somalia,20.6
South Africa,33.0
South Sudan,18.4
Sudan,22.0
Tanzania,18.9
Togo,22.3
Tunisia,28.7
Uganda,18.2
Zambia,18.7
Zimbabwe,19.9
Antigua and Barbuda,25.7
Argentina,33.2
Bahamas,27.9
Barbados,31.8
Belize,28.6
Bolivia,24.1
Brazil,30.0
Canada,29.6
Chile,32.6
Colombia,22.7
Costa Rica,25.7
Cuba,21.3
Dominica,32.5
Dominican Republic,21.0
Ecuador,21.8
El Salvador,22.5
Grenada,31.0
Guatemala,21.3
Guyana,21.5
Haiti,23.7
Honduras,21.2
Jamaica,33.2
Mexico,26.0
Nicaragua,20.6
Panama,21.6
Paraguay,22.7
Peru,23.5
Saint Kitts and Nevis,31.3
Saint Lucia,33.7
Saint Vincent and the Grenadines,21.2
Suriname,29.3
Trinidad and Tobago,29.2
United States,28.6
Uruguay,24.0
Venezuela,22.7
Afghanistan,15.5
Bahrain,26.3
Bangladesh,25.0
Bhutan,22.8
Brunei,25.1
Cambodia,21.0
China,24.9
Hong Kong,28.9
India,25.3
Indonesia,20.0
Iran,23.8
Iraq,25.3
Israel,25.0
Japan,27.0
Jordan,26.6
Kazakhstan,24.3
Kuwait,27.5
Kyrgyzstan,21.8
Laos,20.5
Lebanon,28.8
Malaysia,25.0
Maldives,21.6
Mongolia,26.0
Myanmar,20.5
Nepal,20.1
North Korea,25.5
Oman,24.8
Pakistan,23.2
Palestine,20.1
Philippines,25.3
Qatar,25.4
Saudi Arabia,20.4
Singapore,27.9
Sri Lanka,23.4
South Korea,29.0
Syria,26.3
Taiwan,30.4
Tajikistan,22.5
Thailand,21.0
East Timor,20.6
Turkmenistan,23.3
United Arab Emirates,25.3
Uzbekistan,22.4
Vietnam,22.8
Yemen,23.0
Albania,24.0
Austria,30.3
Azerbaijan,23.7
Armenia,26.3
Belarus,25.3
Belgium,30.0
Bosnia and Herzegovina,27.1
Bulgaria,26.9
Croatia,28.1
Czech Republic,29.8
Cyprus,29.0
Denmark,32.7
Estonia,30.4
Finland,32.1
France,30.8
Georgia,26.6
Germany,30.9
Greece,29.9
Hungary,29.3
Iceland,32.7
Ireland,34.8
Italy,31.3
Latvia,30.6
Lithuania,28.3
Liechtenstein,29.8
Luxembourg,31.1
North Macedonia,26.0
Malta,29.2
Moldova,25.8
Monaco,30.4
Montenegro,28.6
Netherlands,30.9
Norway,34.1
Poland,27.0
Portugal,31.0
Romania,26.7
Russia,24.9
San Marino,30.7
Serbia,28.1
Slovakia,28.1
Slovenia,29.0
Spain,32.3
Sweden,33.9
Switzerland,30.1
Turkey,24.8
Ukraine,25.0
United Kingdom,31.5
Australia,30.5
Fiji,24.1
Kiribati,20.1
Marshall Islands,24.2
Micronesia,25.5
Nauru,21.2
New Zealand,29.4
Palau,26.6
Papua New Guinea,21.4
Samoa,24.1
Solomon Islands,20.3
Tonga,23.6
Tuvalu,22.1
Vanuatu,20.8

