Country,titles(total)
United States,275232.0
China,208418.0
United Kingdom,188000.0
Japan,139078.0
Indonesia,135081.0
Russia,115171.0
France,106799.0
Iran,102691.0
India,90000.0
Spain,89962.0
Germany,79916.0
Turkey,75667.0
South Korea,63476.0
Italy,61966.0
Brazil,46829.0
Australia,28234.0
Taiwan,28084.0
Argentina,28010.0
Vietnam,24589.0
Ukraine,24416.0
Poland,21130.0
Czech Republic,17330.0
Colombia,17066.0
Netherlands,16502.0
Malaysia,15354.0
Romania,14984.0
Canada,14625.0
Hong Kong,14603.0
Belgium,13913.0
Finland,9368.0
Thailand,6750.0
Belarus,8205.0
Denmark,13096.0
Switzerland,12156.0
Singapore,12000.0
Egypt,23000.0
Serbia,11897.0
Hungary,11645.0
Norway,10204.0
Bulgaria,10068.0
Slovakia,9400.0
Israel,8411.0
Sweden,8118.0
Austria,8056.0
Portugal,7868.0
Mexico,7521.0
Greece,6826.0
Chile,5641.0
South Africa,5418.0
Sri Lanka,4115.0
Peru,4101.0
Algeria,3955.0
Estonia,3916.0
Saudi Arabia,2387.0
Pakistan,3811.0
Lebanon,3686.0
Morocco,3677.0
Myanmar,3660.0
New Zealand,3600.0
Ecuador,2854.0
Afghanistan,2795.0
Venezuela,2275.0
Luxembourg,2000.0
Lithuania,3075.0
Latvia,2910.0
Philippines,1507.0
Cuba,992.0
Iceland,1767.0
Costa Rica,2158.0
Nigeria,1314.0
Kazakhstan,1226.0
Syria,1138.0
Uzbekistan,1003.0
Eritrea,970.0
Cyprus,930.0
Tunisia,720.0
Dominican Republic,1866.0
Uruguay,3231.0
Bolivia,1578.0
Georgia,581.0
Azerbaijan,542.0
Jordan,511.0
Panama,940.0
Turkmenistan,450.0
Guatemala,1042.0
Kyrgyzstan,1455.0
Malta,404.0
Fiji,401.0
Armenia,396.0
Paraguay,1007.0
Albania,390.0
Nicaragua,27.0
Kenya,300.0
United Arab Emirates,293.0
Honduras,102.0
Uganda,288.0
Mongolia,285.0
El Salvador,661.0
Ethiopia,240.0
Zimbabwe,232.0
Vatican City,228.0
Qatar,209.0
Kuwait,196.0
Tanzania,172.0
Botswana,158.0
Tajikistan,132.0
Papua New Guinea,122.0
Madagascar,119.0
Malawi,117.0
Palestine,114.0
Namibia,106.0
Brunei,91.0
Laos,88.0
Benin,84.0
Mauritius,80.0
Réunion,69.0
Democratic Republic of the Congo,64.0
Andorra,57.0
Suriname,47.0
American Samoa,46.0
Guyana,42.0
Monaco,41.0
Bahrain,40.0
Ghana,28.0
Libya,26.0
Angola,22.0
Mali,14.0
Gambia,14.0
Burkina Faso,12.0
Oman,7.0
