Country,% Christians
Afghanistan,0.02
Albania,17.0
Algeria,0.01
American Samoa,98.3
Andorra,89.5
Angola,75.0
Anguilla,90.5
Antigua and Barbuda,74.0
Argentina,77.0
Armenia,97.9
Aruba,88.0
Australia,43.9
Austria,60.0
Azerbaijan,3.1
Bahamas,95.0
Bahrain,15.0
Bangladesh,0.4
Barbados,74.0
Belarus,55.4
Belgium,65.0
Belize,76.7
Benin,42.8
Bermuda,64.7
Bhutan,1.0
Bolivia,89.0
Bosnia and Herzegovina,45.94
Botswana,71.6
Brazil,90.0
British Virgin Islands,94.0
Brunei,7.1
Bulgaria,85.0
Burkina Faso,22.0
Burundi,75.0
Cambodia,1.0
Cameroon,73.0
Canada,53.3
Cape Verde,89.1
Cayman Islands,73.8
Central African Republic,80.0
Chad,35.0
Chile,68.0
People's Republic of China,3.0
Colombia,92.0
Comoros,2.1
Cook Islands,86.0
"Congo, Republic of",90.7
"Congo, Democratic Republic of",92.0
Costa Rica,82.0
Côte d'Ivoire,32.8
Croatia,90.1
Cuba,65.0
Cyprus,79.0
Czech Republic,34.0
Denmark,79.0
Djibouti,6.0
Dominica,88.7
Dominican Republic,83.0
East Timor,99.1
Ecuador,94.0
Egypt,10.0
El Salvador,81.9
Equatorial Guinea,88.7
Eritrea,67.0
Estonia,45.0
Eswatini,82.7
Ethiopia,75.0
Falkland Islands,94.3
Faroe Islands,95.4
Fiji,64.4
Finland,69.8
France,51.1
Gabon,88.0
Gambia,4.2
Georgia,88.6
Germany,53.9
Ghana,71.2
Greece,93.0
Greenland,96.6
Grenada,97.3
Guatemala,87.0
Guinea,8.9
Guinea-Bissau,10.0
Guyana,64.0
Haiti,96.0
Honduras,88.0
Hong Kong,18.4
Hungary,58.935
Iceland,72.3
India,2.3
Indonesia,10.72
Iran,0.95
Iraq,1.2
Ireland,83.8
Israel,3.5
Italy,83.0
Jamaica,65.3
Japan,1.1
Jordan,6.0
Kazakhstan,26.2
Kenya,85.1
"Korea, North",1.7
"Korea, South",27.6
Kuwait,15.0
Kyrgyzstan,14.2
Laos,2.2
Latvia,75.0
Lebanon,39.5
Lesotho,90.0
Liberia,85.5
Libya,2.7
Liechtenstein,84.4
Lithuania,83.7
Luxembourg,72.4
Madagascar,85.0
Malawi,81.95
Malaysia,9.2
Maldives,0.08
Mali,2.4
Malta,91.6
Mauritania,0.14
Mauritius,32.2
Mexico,88.9
"Micronesia, Federated States of",95.4
Moldova,95.3
Monaco,82.6
Mongolia,1.3
Montenegro,78.8
Morocco,1.0
Mozambique,56.1
Myanmar,6.2
Namibia,90.0
Nepal,0.9
Netherlands,40.4
New Zealand,37.0
Nicaragua,84.6
Niger,0.5
Nigeria,45.9
North Macedonia,70.7
Norway,76.7
Oman,6.5
Pakistan,1.6
Palau,77.9
Panama,92.0
Papua New Guinea,97.0
Paraguay,96.0
Peru,87.0
Philippines,85.0
Pitcairn Islands,100.0
Poland,94.3
Portugal,84.3
Puerto Rico,89.0
Qatar,13.8
Romania,98.0
Russia,61.8
Rwanda,93.6
San Marino,91.6
Saudi Arabia,5.0
Senegal,4.2
Serbia,91.0
Seychelles,94.7
Sierra Leone,15.45
Singapore,18.0
Slovakia,80.0
Slovenia,68.0
Somalia,0.01
South Africa,79.8
South Sudan,60.5
Spain,59.2
Sri Lanka,7.4
Sudan,1.5
Suriname,50.0
Sweden,64.3
Switzerland,68.0
Syria,10.0
Tajikistan,1.4
Tanzania,61.4
Thailand,1.2
Togo,29.0
Tonga,81.0
Trinidad and Tobago,57.6
Tunisia,0.1
Turkey,0.2
Turkmenistan,9.0
Uganda,88.6
Ukraine,81.9
United Arab Emirates,9.0
United Kingdom,59.3
United States,69.0
Uruguay,58.1
Uzbekistan,2.6
Venezuela,88.0
Vietnam,8.2
Yemen,0.01
Zambia,95.5
Zimbabwe,87.0
Europe,76.2
Latin America and the Caribbean,90.0
Africa,62.7
Asia,9.5
North America,77.4
Oceania,73.3
Middle East-North Africa,4.4
Total,33.4
