Country,gdp estimate un
Liechtenstein,180227.0
Monaco,173696.0
Luxembourg,117182.0
Bermuda,123945.0
Ireland,86251.0
Norway,66871.0
Switzerland,86919.0
Isle of Man,NA
Cayman Islands,95191.0
Qatar,50815.0
Singapore,58114.0
United States,63123.0
Channel Islands,NA
Iceland,63644.0
Australia,55823.0
Faroe Islands,NA
Denmark,61477.0
Canada,43560.0
Sweden,53575.0
Netherlands,53334.0
Israel,47034.0
Greenland,55139.0
Austria,48106.0
Finland,48685.0
Belgium,45028.0
Hong Kong,46611.0
British Virgin Islands,49357.0
Germany,45909.0
United Arab Emirates,36285.0
San Marino,45832.0
United Kingdom,40718.0
New Zealand,43972.0
Brunei,27437.0
France,38959.0
Andorra,37072.0
U.S. Virgin Islands,NA
Puerto Rico,36052.0
Kuwait,24809.0
European Union,35485.0
Taiwan,28383.0
New Caledonia,34006.0
Guam,NA
Japan,39990.0
Italy,31238.0
Macau,37474.0
South Korea,31947.0
Malta,33771.0
Bahamas,25194.0
Aruba,23386.0
Cyprus,28133.0
Slovenia,25777.0
Estonia,23106.0
Spain,27409.0
Bahrain,19925.0
Czech Republic,22911.0
Saudi Arabia,20110.0
Portugal,22413.0
Turks and Caicos Islands,23881.0
Lithuania,20772.0
Oman,12409.0
Iran,11183.0
Latvia,17871.0
Saint Martin (French part),NA
Greece,18117.0
Trinidad and Tobago,15286.0
Northern Mariana Islands,NA
Slovakia,19264.0
Seychelles,10767.0
French Polynesia,20707.0
Uruguay,15438.0
Barbados,15449.0
Sint Maarten (Dutch part),20000.0
Saint Kitts and Nevis,17434.0
Poland,15764.0
Hungary,16129.0
Guyana,6956.0
Croatia,13934.0
Anguilla,17226.0
Antigua and Barbuda,13993.0
Panama,12269.0
Cook Islands,16135.0
Curaçao,15819.0
Romania,12929.0
Chile,13232.0
Maldives,6924.0
Russia,10166.0
Argentina,8476.0
Montserrat,13523.0
World,10949.0
Malaysia,10402.0
Costa Rica,12077.0
China,10229.0
American Samoa,NA
Palau,14567.0
Bulgaria,10058.0
Turkmenistan,7104.0
Kazakhstan,9111.0
Equatorial Guinea,7143.0
Mexico,8326.0
Saint Lucia,8805.0
Dominican Republic,7268.0
Grenada,9273.0
Gabon,6789.0
Nauru,12510.0
Turkey,8538.0
Montenegro,7626.0
Cuba,9478.0
Serbia,7656.0
Mauritius,8587.0
Brazil,6797.0
Belarus,6377.0
Saint Vincent and the Grenadines,7298.0
Dominica,7038.0
Thailand,7189.0
Botswana,6711.0
Peru,6163.0
Azerbaijan,4202.0
Bosnia and Herzegovina,6035.0
North Macedonia,5886.0
Georgia,3984.0
South Africa,5094.0
Iraq,4146.0
Colombia,5333.0
Ecuador,5600.0
Albania,5181.0
Belize,3988.0
Libya,4243.0
Armenia,4266.0
Tuvalu,4648.0
Jamaica,4665.0
Paraguay,4950.0
Moldova,2954.0
Fiji,5013.0
Kosovo,4368.0
Tonga,4646.0
El Salvador,3799.0
Guatemala,4332.0
Suriname,7023.0
Ukraine,3557.0
Marshall Islands,4130.0
Namibia,4215.0
Indonesia,3870.0
Jordan,4283.0
Mongolia,4007.0
Egypt,3609.0
Vietnam,2786.0
Algeria,3368.0
Samoa,3890.0
Micronesia,3500.0
Eswatini,3306.0
Morocco,3108.0
Tunisia,3318.0
Angola,1896.0
Djibouti,3465.0
Bolivia,3133.0
Cape Verde,3064.0
Philippines,3299.0
Bhutan,3218.0
Palestine,3050.0
Papua New Guinea,2640.0
Sri Lanka,3768.0
Venezuela,3740.0
Vanuatu,2783.0
Honduras,2406.0
Congo,1830.0
Bangladesh,2001.0
Lebanon,9310.0
India,1931.0
Zimbabwe,1466.0
Ivory Coast,2318.0
Nicaragua,1905.0
Ghana,2206.0
Mauritania,1702.0
Nigeria,2085.0
Kenya,1879.0
Uzbekistan,1724.0
Solomon Islands,2251.0
São Tomé and Príncipe,2174.0
Laos,2623.0
East Timor,1443.0
Cambodia,1513.0
Kiribati,1515.0
Haiti,1360.0
Pakistan,1167.0
Cameroon,1502.0
Senegal,1458.0
Kyrgyzstan,1186.0
Benin,1254.0
Zambia,985.0
Guinea,1179.0
Comoros,1421.0
Nepal,1135.0
Tanzania,1115.0
Lesotho,1061.0
Uganda,846.0
Myanmar,1292.0
Ethiopia,840.0
Zanzibar,1031.0
Tajikistan,838.0
Togo,863.0
Sudan,1415.0
Rwanda,798.0
Syria,890.0
Yemen,937.0
Mali,856.0
Guinea-Bissau,668.0
Gambia,757.0
Burkina Faso,831.0
Chad,679.0
Liberia,491.0
DR Congo,506.0
Eritrea,588.0
North Korea,618.0
Afghanistan,508.0
Niger,568.0
Mozambique,449.0
Somalia,118.0
Malawi,615.0
Madagascar,470.0
Central African Republic,481.0
Sierra Leone,475.0
South Sudan,1421.0
Burundi,286.0
