Country,gdp_debt
United Kingdom,273.06
France,253.35
United States,96.06
Germany,160.35
Japan,101.41
China,14.39
Italy,141.0
Spain,170.0
Canada,143.0
Australia,130.0
Switzerland,285.0
Singapore,471.0
Belgium,269.0
Austria,165.0
Norway,133.4
Finland,218.0
India,19.9
Brazil,38.0
Netherlands,52.0
Denmark,158.0
Russia,32.0
Turkey,55.0
Greece,298.0
Mexico,43.0
Portugal,128.0
South Korea,33.0
Indonesia,30.0
Poland,60.0
Argentina,72.0
Malaysia,68.0
Ireland,701.0
Ukraine,81.0
United Arab Emirates,59.0
Saudi Arabia,31.0
Mauritius,2.01
Taiwan,28.0
New Zealand,90.0
Chile,82.0
Puerto Rico (United States),164.0
Kazakhstan,91.0
Qatar,83.0
Egypt,34.0
Thailand,33.0
Hungary,160.0
South Africa,57.0
Czechia,76.0
Pakistan,43.0
Colombia,57.0
Cyprus,849.0
Venezuela,23.0
Romania,58.0
Malta,691.0
Sweden,23.0
Israel,33.0
Slovakia,112.0
Bangladesh,22.0
Peru,44.0
Philippines,27.0
Iraq,44.0
Morocco,46.0
Slovenia,104.0
Vietnam,26.0
Kuwait,51.0
Sri Lanka,68.0
Croatia,89.0
Sudan,121.0
Latvia,126.0
Bulgaria,63.0
Lebanon,220.0
Belarus,66.0
Angola,41.0
Ecuador,57.0
Lithuania,74.0
Serbia,62.0
Jordan,83.0
Cuba,34.0
Uruguay,50.0
Dominican Republic,36.0
Mongolia,245.0
Tunisia,97.0
Costa Rica,43.0
Iceland,81.0
Ethiopia,32.0
Kenya,26.0
Papua New Guinea,111.0
Trinidad & Tobago,76.0
Ghana,30.0
Bahrain,66.0
Oman,35.0
Estonia,89.0
Guatemala,28.0
Palau,6.21
Panama,157.0
Bahamas,194.0
Jamaica,122.0
Monaco,240.0
Georgia,128.0
Paraguay,54.0
Tanzania,34.0
Uzbekistan,24.0
Nigeria,2.0
El Salvador,56.0
Laos,53.0
Nicaragua,83.0
Zimbabwe,77.0
Luxembourg,22.1
Albania,66.0
Ivory Coast,24.0
Cambodia,57.0
Mozambique,72.0
Zambia,45.0
Honduras,38.0
Kyrgyzstan,112.0
North Macedonia,73.0
Cameroon,24.0
Yemen,21.0
Iran,2.0
Azerbaijan,22.0
Moldova,70.0
Namibia,64.0
Bolivia,33.0
Uganda,24.0
Senegal,42.0
Armenia,102.0
Myanmar,17.0
Syria,24.0
Democratic Republic of the Congo,13.0
Gabon,35.0
North Korea,18.0
Republic of the Congo,55.0
Bosnia and Herzegovina,23.0
Barbados,100.0
Montenegro,151.0
Madagascar,41.0
Algeria,2.0
Mali,26.0
Mauritania,76.0
Libya,9.0
Nepal,16.0
Burkina Faso,26.0
Somalia,52.0
Niger,36.0
Seychelles,180.0
Rwanda,29.0
Bermuda (UK),47.0
Kosovo,37.0
Benin,26.0
Tajikistan,38.0
Bhutan,108.0
Haiti,24.0
Malawi,39.0
South Sudan,62.7
Chad,18.0
Botswana,8.0
Palestine,35.0
Cape Verde,99.0
Sierra Leone,36.0
Equatorial Guinea,12.0
Djibouti,71.0
Guinea,20.0
Belize,75.0
Afghanistan,7.0
Suriname,30.0
Togo,26.0
Guyana,36.0
Andorra,41.0
Liberia,51.0
Guinea-Bissau,94.0
Lesotho,53.0
Faroe Islands (Denmark),38.0
Fiji,18.0
Eritrea,15.0
Maldives,23.0
Burundi,26.0
Aruba,28.0
Central African Republic,39.0
Grenada,66.0
Gambia,61.0
Saint Lucia,36.0
Turkmenistan,1.0
Solomon Islands,40.0
Eswatini,14.0
Samoa,51.0
Antigua and Barbuda,34.0
San Marino,23.0
Brunei,2.8
Saint Vincent and the Grenadines,42.0
Timor-Leste,12.0
Dominica,55.0
Cook Islands (New Zealand),23.0
Sao Tome and Principe,67.0
Tonga,54.0
Vanuatu,27.0
Saint Kitts and Nevis,20.0
Comoros,21.0
New Caledonia (France),1.0
Marshall Islands,52.0
Micronesia,29.0
Cayman Islands (UK),7.0
Greenland (Denmark),2.0
Nauru,22.0
British Virgin Islands (UK),2.0
Tuvalu (Tuvalu),37.0
Kiribati,8.0
Anguilla,5.0
Wallis and Futuna (France),6.0
Montserrat (UK),2.0
Liechtenstein,0.0
Niue (New Zealand),0.0
