Country,Average daily dietary energy consumption per capita(kilocalories)
Ireland,3885.0
United States,3782.0
Belgium,3769.0
Turkey,3711.0
Austria,3695.0
Iceland,3654.0
Romania,3581.0
Canada,3566.0
Germany,3554.0
Poland,3537.0
Israel,3528.0
Italy,3503.0
France,3502.0
Montenegro,3500.0
Portugal,3480.0
Kuwait,3471.0
Luxembourg,3465.0
Tunisia,3450.0
South Korea,3420.0
Malta,3420.0
Morocco,3412.0
Lithuania,3411.0
Denmark,3401.0
Australia,3391.0
Greece,3382.0
Norway,3371.0
Albania,3360.0
Switzerland,3354.0
Russia,3345.0
United Kingdom,3344.0
Cuba,3344.0
Finland,3343.0
Algeria,3322.0
Spain,3322.0
Hungary,3316.0
United Arab Emirates,3314.0
Argentina,3307.0
Bosnia and Herzegovina,3307.0
Saudi Arabia,3307.0
Brazil,3301.0
Netherlands,3297.0
Egypt,3292.0
Czech Republic,3277.0
Belarus,3270.0
Hong Kong,3267.0
Estonia,3247.0
Latvia,3229.0
China,3206.0
Uruguay,3202.0
New Zealand,3191.0
Slovenia,3191.0
Sweden,3184.0
Mexico,3157.0
Azerbaijan,3149.0
Colombia,3114.0
Ukraine,3102.0
Iran,3087.0
Kiribati,3078.0
Croatia,3074.0
North Macedonia,3072.0
Kazakhstan,3067.0
Mauritius,3051.0
Ghana,3035.0
Samoa,3030.0
Chile,3029.0
Costa Rica,3029.0
Vietnam,3025.0
Cyprus,3019.0
Uzbekistan,3011.0
Armenia,2997.0
Trinidad and Tobago,2991.0
Brunei,2985.0
Taiwan,2983.0
Saint Vincent and the Grenadines,2968.0
Barbados,2956.0
Dominica,2952.0
Oman,2940.0
Guyana,2913.0
South Africa,2899.0
Dominican Republic,2892.0
Indonesia,2884.0
Mauritania,2877.0
Mali,2873.0
Slovakia,2871.0
New Caledonia (France),2858.0
Lebanon,2857.0
Bulgaria,2854.0
Panama,2851.0
Malaysia,2845.0
Georgia,2835.0
Turkmenistan,2830.0
Serbia,2828.0
Thailand,2804.0
Jamaica,2792.0
Fiji,2781.0
Ivory Coast,2778.0
Peru,2775.0
Belize,2775.0
Nepal,2769.0
Paraguay,2768.0
Laos,2758.0
Benin,2755.0
Guinea,2746.0
Burkina Faso,2737.0
Sri Lanka,2737.0
Cameroon,2733.0
Jordan,2732.0
Kyrgyzstan,2729.0
Japan,2705.0
Suriname,2698.0
El Salvador,2696.0
Djibouti,2694.0
Honduras,2673.0
Myanmar,2673.0
Philippines,2662.0
Bahamas,2655.0
Gabon,2633.0
Saint Lucia,2618.0
Iraq,2608.0
Vanuatu,2607.0
Ecuador,2606.0
Niger,2601.0
Nicaragua,2582.0
Saint Kitts and Nevis,2582.0
Mongolia,2579.0
Sudan,2578.0
Nigeria,2572.0
Bangladesh,2563.0
Guatemala,2551.0
Senegal,2545.0
Cape Verde,2541.0
India,2533.0
Gambia,2533.0
Cambodia,2492.0
Pakistan,2486.0
Namibia,2469.0
São Tomé and Príncipe,2446.0
Antigua and Barbuda,2445.0
Togo,2443.0
Eswatini,2426.0
Solomon Islands,2415.0
Bolivia,2412.0
Grenada,2402.0
Malawi,2392.0
Angola,2385.0
Moldova,2383.0
Tanzania,2373.0
Sierra Leone,2369.0
Botswana,2342.0
Ethiopia,2338.0
Lesotho,2323.0
Timor-Leste,2287.0
Republic of the Congo,2285.0
Maldives,2235.0
Guinea-Bissau,2229.0
Kenya,2197.0
Rwanda,2188.0
Liberia,2168.0
Yemen,2154.0
Haiti,2121.0
Venezuela,2120.0
Chad,2115.0
Tajikistan,2109.0
Mozambique,2103.0
Afghanistan,2040.0
North Korea,2019.0
Zambia,2002.0
Uganda,1981.0
Madagascar,1938.0
Zimbabwe,1908.0
Central African Republic,1786.0
