Country,yes important %
Japan,14.0
Vietnam,15.0
Estonia,16.0
Czechia,16.0
Sweden,16.0
Austria,17.0
New Zealand,18.0
Denmark,19.0
Moldova,21.0
Norway,22.0
Hong Kong,24.0
Canada,22.0
Finland,23.0
Switzerland,23.0
Cyprus,25.0
United Kingdom,25.0
Latvia,29.0
France,30.0
Australia,33.0
Netherlands,33.0
Belgium,33.0
South Korea,33.0
Cuba,34.0
Bulgaria,34.0
Russia,34.0
Belarus,34.0
Azerbaijan,36.0
Luxembourg,39.0
Hungary,39.0
Taiwan,40.0
Germany,40.0
Uruguay,40.0
Lithuania,40.0
Ukraine,46.0
Slovenia,47.0
Slovakia,47.0
Spain,49.0
Albania,50.0
Poland,50.0
Israel,51.0
Kazakhstan,53.0
Serbia,54.0
Ireland,54.0
Uzbekistan,55.0
Chile,60.0
Belize,62.0
Turkey,64.0
Argentina,65.0
United States,67.0
Nicaragua,70.0
Croatia,70.0
Singapore,70.0
Jamaica,70.0
Montenegro,71.0
Greece,71.0
Portugal,72.0
Italy,72.0
Kyrgyzstan,72.0
Mexico,73.0
Bosnia and Herzegovina,75.0
United Arab Emirates,76.0
North Macedonia,76.0
Botswana,77.0
Nigeria,77.0
Philippines,77.0
El Salvador,77.0
Iran,78.0
Venezuela,79.0
Costa Rica,79.0
Armenia,79.0
Turkmenistan,80.0
Togo,80.0
Georgia,81.0
Ecuador,82.0
Colombia,83.0
Peru,84.0
Romania,84.0
South Africa,85.0
Brazil,85.0
Tajikistan,85.0
Haiti,85.0
Mozambique,86.0
Malta,86.0
Dominican Republic,87.0
Lebanon,87.0
Zimbabwe,88.0
Cote d'Ivoire,88.0
Burkina Faso,88.0
Panama,88.0
Angola,88.0
Guatemala,88.0
Tanzania,89.0
Bolivia,89.0
Syria,89.0
Iraq,89.0
India,90.0
Kuwait,91.0
Namibia,92.0
Trinidad and Tobago,92.0
Paraguay,92.0
Pakistan,92.0
State of Palestine,93.0
Sudan,93.0
Uganda,93.0
Madagascar,93.0
Benin,93.0
Nepal,93.0
Tunisia,93.0
Qatar,93.0
Central African Republic,94.0
Kenya,94.0
Liberia,94.0
Democratic Republic of the Congo,94.0
Bahrain,94.0
Ghana,95.0
Zambia,95.0
Algeria,95.0
Chad,95.0
Rwanda,95.0
Republic of the Congo,95.0
Mali,95.0
Burundi,96.0
Djibouti,96.0
Egypt,96.0
Cameroon,96.0
Malaysia,96.0
Cambodia,96.0
Bangladesh,96.0
Senegal,96.0
Oman,96.0
Jordan,96.0
Saudi Arabia,96.0
Myanmar,96.0
Laos,96.0
Guinea,96.0
Morocco,96.0
Comoros,96.0
Indonesia,96.0
Afghanistan,97.0
Malawi,97.0
Mauritania,97.0
Sri Lanka,97.0
Thailand,98.0
Somalia,98.0
Yemen,98.0
Niger,98.0
