Country,% Jewish
Israel,43.0
United States,39.0
France,3.0
West Bank,2.9
Canada,2.7
United Kingdom,2.0
Argentina,1.2
Russia,1.0
Australia,0.8
Germany,0.8
Brazil,0.62
South Africa,0.35
Hungary,0.32
Ukraine,0.3
Mexico,0.27
Netherlands,0.2
Belgium,0.2
Italy,0.18
Switzerland,0.13
Uruguay,0.11
Chile,0.11
Sweden,0.1
Turkey,0.098
Spain,0.088
Austria,0.07
Panama,0.068
Iran,0.064
Romania,0.06
Belarus,0.057
New Zealand,0.051
Azerbaijan,0.049
Venezuela,0.041
Denmark,0.043
India,0.032
Latvia,0.03
Poland,0.03
Greece,0.028
Czech Republic,0.026
Portugal,0.021
China,0.02
Uzbekistan,0.02
Ireland,0.018
Slovakia,0.018
Kazakhstan,0.017
Costa Rica,0.017
Lithuania,0.016
Colombia,0.014
Morocco,0.014
Bulgaria,0.014
Moldova,0.013
Estonia,0.013
Peru,0.013
Croatia,0.011
Georgia,0.01
Puerto Rico,0.01
Serbia,0.0095
Finland,0.0088
Norway,0.0088
Tunisia,0.0068
Japan,0.0068
Paraguay,0.0074
Guatemala,0.0061
Singapore,0.0061
Ecuador,0.0041
Gibraltar,0.0054
Luxembourg,0.0047
Bolivia,0.0034
Bosnia and Herzegovina,0.0034
Cuba,0.0034
U.S. Virgin Islands,0.0034
Kyrgyzstan,0.0027
Bahamas,0.0014
Kenya,0.002
Netherlands Antilles,0.0027
Jamaica,0.0034
Suriname,0.0014
Thailand,0.0014
Turkmenistan,0.0014
Zimbabwe,0.0014
Armenia,0.00068
Bermuda,0.00068
Botswana,0.00068
DR Congo,0.00068
Cyprus,0.0034
Barbados,0.00068
Dominican Republic,0.00068
Egypt,0.00068
El Salvador,0.00068
Ethiopia,0.00068
Indonesia,0.00068
Malta,0.0034
Namibia,0.00068
Nigeria,0.00068
North Macedonia,0.00068
Madagascar,0.00068
Philippines,0.00068
Slovenia,0.00068
South Korea,0.00068
Syria,0.00068
Taiwan,0.00068
Uganda,NA
Aruba,NA
Nicaragua,NA
Mauritius,NA
Tajikistan,NA
Anguilla,NA
Faroe Islands,NA
Montenegro,NA
British Virgin Islands,NA
Liechtenstein,NA
Falkland Islands,NA
World,100.0
