Country,literacy rate elderly(+65)
Afghanistan,20.3
Albania,86.9
Algeria,19.5
American Samoa,92.7
Andorra,NA
Angola,27.0
Anguilla,88.0
Antigua and Barbuda,NA
Argentina,97.9
Armenia,98.9
Aruba,88.9
Australia,NA
Austria,NA
Azerbaijan,98.4
Bahamas,NA
Bahrain,42.3
Bangladesh,39.4
Barbados,98.5
Belarus,98.6
Belgium,NA
Belize,44.8
Benin,7.0
Bermuda,NA
Bhutan,14.9
Bolivia,67.5
Bonaire,NA
Bosnia and Herzegovina,86.0
Botswana,40.7
Brazil,74.3
British Virgin Islands,NA
Brunei,61.6
Bulgaria,97.5
Burkina Faso,8.4
Burundi,24.9
Cape Verde,36.8
Cambodia,53.1
Cameroon,26.1
Canada,NA
Cayman Islands,94.7
Central African Republic,35.7
Chad,7.0
Chile,89.9
China,73.9
Hong Kong,NA
Macau,81.2
Colombia,81.4
Comoros,12.8
Congo,73.1
DR Congo,48.0
Cook Islands,NA
Costa Rica,90.4
Croatia,97.1
Cuba,99.2
Curaçao,NA
Cyprus,93.8
Czech Republic,NA
Ivory Coast,18.0
Denmark,NA
Djibouti,NA
Dominica,NA
Dominican Republic,79.8
Ecuador,77.7
Egypt,43.2
El Salvador,65.7
Equatorial Guinea,67.2
Eritrea,20.9
Estonia,99.7
Eswatini,45.2
Ethiopia,13.6
Faroe Islands,NA
Falkland Islands,NA
Fiji,NA
Finland,NA
France,NA
French Guiana,69.7
French Polynesia,NA
Gabon,60.6
Gambia,10.4
Georgia,99.1
Germany,NA
Ghana,34.9
Gibraltar,NA
Greece,92.5
Greenland,NA
Grenada,96.2
Guadeloupe,82.9
Guam,95.9
Guatemala,50.7
Guinea,13.1
Guinea-Bissau,19.5
Guyana,49.9
Haiti,8.5
Holy See,NA
Honduras,66.3
Hungary,99.1
Iceland,NA
India,45.4
Indonesia,70.1
Iran,36.8
Iraq,20.4
Ireland,NA
Isle of Man,NA
Israel,79.8
Italy,96.7
Jamaica,66.6
Japan,NA
Jordan,87.7
Kazakhstan,99.5
Kenya,54.0
Kiribati,NA
North Korea,100.0
South Korea,NA
Kuwait,69.5
Kyrgyzstan,92.5
Laos,58.6
Latvia,99.9
Lebanon,60.2
Lesotho,51.4
Liberia,32.8
Libya,24.2
Liechtenstein,NA
Lithuania,99.8
Luxembourg,NA
Madagascar,49.4
Malawi,35.1
Malaysia,47.1
Maldives,92.8
Mali,13.6
Malta,85.8
Marshall Islands,89.4
Martinique,88.1
Mauritania,26.6
Mauritius,64.6
Mayotte,NA
Mexico,78.9
Micronesia,NA
Monaco,NA
Mongolia,94.6
Montenegro,93.9
Montserrat,NA
Morocco,34.1
Mozambique,26.0
Myanmar,58.2
Namibia,56.7
Nauru,NA
Nepal,20.8
Netherlands,NA
New Caledonia,90.6
New Zealand,NA
Nicaragua,49.2
Niger,13.7
Nigeria,21.6
Niue,NA
Northern Mariana Islands,NA
Norway,NA
Oman,41.9
Pakistan,27.1
Palau,84.7
Palestine,63.9
Panama,80.9
Papua New Guinea,33.0
Paraguay,77.8
Peru,77.7
Philippines,90.1
Pitcairn Islands,NA
Poland,93.0
Portugal,80.5
Puerto Rico,84.5
Qatar,41.0
Moldova,95.8
Romania,96.8
Russia,99.2
Rwanda,24.3
Réunion,42.0
Saint Helena,NA
Saint Kitts and Nevis,NA
Saint Lucia,NA
Saint Pierre and Miquelon,98.5
Saint Martin,NA
Samoa,96.3
San Marino,NA
São Tomé and Príncipe,49.6
Saudi Arabia,51.4
Senegal,21.5
Serbia,96.6
Seychelles,71.5
Sierra Leone,3.7
Singapore,84.0
Sint Maarten,NA
Slovakia,NA
Slovenia,99.3
Solomon Islands,NA
Somalia,NA
South Africa,72.1
South Sudan,11.0
Spain,94.7
Sri Lanka,81.0
Saint Vincent and the Grenadines,91.0
Sudan,24.3
Suriname,76.0
Svalbard and Jan Mayen,NA
Sweden,NA
Switzerland,NA
Syria,39.0
Macedonia,82.5
Tajikistan,98.1
Tanzania,43.5
Thailand,78.7
East Timor,11.2
Togo,20.4
Tokelau,NA
Tonga,98.9
Trinidad and Tobago,82.8
Tunisia,39.8
Turkey,88.1
Turkmenistan,97.6
Turks and Caicos Islands,NA
Tuvalu,NA
Uganda,36.1
Ukraine,100.0
United Arab Emirates,42.1
United Kingdom,NA
United States,NA
Uruguay,97.1
Uzbekistan,99.8
Vanuatu,44.2
Venezuela,88.1
Vietnam,76.9
U.S. Virgin Islands,NA
Wallis and Futuna,NA
Western Sahara,NA
Yemen,13.7
Zambia,52.3
Zimbabwe,81.1
