Country,number of internet users %
China,72.4
India,59.5
United States,91.2
Indonesia,71.6
Brazil,77.1
Nigeria,63.8
Pakistan,60.8
Russia,89.5
Bangladesh,75.9
Japan,94.2
Mexico,71.3
Iran,88.8
Germany,93.3
Philippines,64.1
Turkey,82.5
Vietnam,69.9
United Kingdom,96.6
France,92.2
Egypt,50.1
South Korea,95.4
Spain,89.3
Thailand,75.5
Italy,85.3
Poland,90.6
Canada,89.0
Argentina,74.1
South Africa,53.6
Colombia,59.3
Saudi Arabia,75.2
Malaysia,75.5
Ukraine,71.4
Algeria,59.6
Morocco,59.5
Taiwan,91.9
Australia,81.6
Venezuela,72.9
Ethiopia,16.2
Iraq,43.4
Uzbekistan,49.0
Myanmar,30.4
Netherlands,90.7
Peru,46.5
Chile,76.3
Kazakhstan,72.5
Romania,64.9
Sudan,27.4
Ghana,45.9
Côte d'Ivoire,38.8
Uganda,22.2
Belgium,86.3
Sweden,91.3
Ecuador,53.5
Tanzania,47.2
United Arab Emirates,95.2
Kenya,16.7
Czech Republic,79.5
Switzerland,91.4
Greece,75.9
Azerbaijan,75.3
Austria,86.1
Portugal,74.1
Yemen,22.9
Hungary,76.8
Sri Lanka,32.7
Belarus,73.6
Democratic Republic of the Congo,7.3
Dominican Republic,62.9
Guatemala,66.7
Israel,76.3
Hong Kong China,87.9
Jordan,58.1
Tunisia,52.2
Nepal,53.9
Syria,29.3
Serbia,84.7
Mozambique,19.2
Cuba,50.1
Cameroon,20.5
Denmark,92.4
Cambodia,32.8
Norway,94.8
Bolivia,40.1
Finland,87.3
Singapore,81.1
Zambia,24.4
Lebanon,85.0
Senegal,27.8
Bulgaria,65.2
Zimbabwe,28.0
Slovakia,81.6
New Zealand,83.3
Angola,12.4
Paraguay,62.1
Afghanistan,10.1
Kuwait,95.4
Ireland,80.7
Oman,82.2
Costa Rica,68.1
Palestine,62.5
Moldova,100.7
Burkina Faso,13.8
Honduras,29.0
Croatia,69.2
Puerto Rico (U.S.),81.8
Rwanda,19.7
Malawi,12.9
Qatar,94.2
Madagascar,8.7
Bosnia and Herzegovina,70.9
Panama,54.5
Georgia,91.7
Uruguay,68.9
Mali,10.8
Kyrgyzstan,35.4
Lithuania,80.5
Niger,8.7
Albania,73.7
Armenia,73.2
El Salvador,31.6
Tajikistan,20.1
Laos,23.6
Nicaragua,25.3
Slovenia,77.4
North Macedonia,75.6
Latvia,84.6
Benin,12.1
Guinea,10.7
Bahrain,97.8
Jamaica,49.9
Libya,20.6
Haiti,11.8
Turkmenistan,19.3
Estonia,86.8
Trinidad and Tobago,69.4
Gabon,44.4
South Sudan,9.3
Sierra Leone,11.9
Chad,5.6
Togo,11.1
Cyprus,76.5
Botswana,36.7
Namibia,36.9
Papua New Guinea,9.3
Mauritania,19.9
Mongolia,21.8
Mauritius,54.1
Lesotho,29.2
Burundi,4.8
Luxembourg,89.3
Djibouti,48.2
Macau China,75.4
Congo,7.8
Fiji,48.9
Montenegro,80.4
Gambia,15.8
Eswatini,34.7
Brunei,91.3
Bhutan,50.0
Liberia,7.3
East Timor,27.0
Malta,65.5
Bahamas,82.4
Equatorial Guinea,20.4
Iceland,88.9
Cabo Verde,53.1
Somalia,1.7
Guyana,36.1
Suriname,45.0
Maldives,52.9
Barbados,83.1
New Caledonia,78.7
French Polynesia,67.7
Central African Republic,3.7
Belize,44.1
Guam,77.5
Aruba (Netherlands),96.0
Saint Lucia,50.6
Antigua and Barbuda,83.2
Andorra,96.3
Guinea-Bissau,3.5
Solomon Islands,10.3
Saint Vincent and the Grenadines,69.1
Vanuatu,22.3
Comoros,8.4
U.S. Virgin Islands,67.5
Eritrea,1.8
Samoa,30.2
Grenada,51.1
São Tomé and Príncipe,27.4
Bermuda,94.0
Seychelles,52.3
Dominica,71.1
Cayman Islands,73.2
Faroe Islands,90.9
Saint Kitts and Nevis,93.8
Tonga,42.0
Greenland,69.8
Jersey,35.5
Monaco,102.4
Micronesia,7.0
Liechtenstein,95.3
Gibraltar,99.5
Marshall Islands,48.9
San Marino,59.6
Kiribati,13.2
British Virgin Islands,46.4
Anguilla,76.4
Nauru,51.8
Tuvalu,49.3
Saint Helena Ascension and Tristan da Cunha,53.8
Falkland Islands,76.5
Montserrat,64.1
Wallis and Futuna,11.9
Niue,53.4
