Country or entity,Christians, Christian, Catholic, Protestant/Orthodox/Other Christian
Afghanistan (details),"6,250/8,000-30,000",0.02,,
Albania (details),"580,000",17.0,10,7
Algeria (details),"20,000-200,000 or 71,000 (estimate for 2010)",0.01,0.01,1
American Samoa (details),"70,000",98.3,20,
Andorra (details),"78,000",89.5,88.2,1.3
Angola (details),"17,094,000",75,50,25
Anguilla (details),"15,000",90.5,3,87
Antigua and Barbuda (details),"66,000",74.0,10,64
Argentina (details),"34,940,108",77,66,11
Armenia (details),"2,826,000",97.9,1,96.9
Aruba (details),"98,000",88,80.8,7.8
Australia (details),"11,148,814",43.9,22.6,29.6
Austria (details),"5,185,959",58-62,54.9,3-7
Azerbaijan (details),"280,000",3.1,,3.1
Bahamas (details),"335,975",95,12.0,83.0
Bahrain (details),"185,000",15.0,,9.0
Bangladesh (details),"420,000",0.4,0.4,
Barbados (details),"244,000",74,4.2,70
Belarus (details),"5,265,000",55.4,7.1,48.3
Belgium (details),"6,860,000",65,58,7
Belize (details),"247,000",76.7,40,36.7
Benin (details),"3,943,000",42.8,27,15
Bermuda (details),"44,000",64.7,15,50
Bhutan (details),"7,000",1.0,0.1,0.9
Bolivia (details),"9,730,000",89.0,76,13
Bosnia and Herzegovina (details),"1,622,093",45.94,15.19,30.75
Botswana (details),"1,416,000",71.6,5,66
Brazil (details),"180,770,000",90.0,64.6,22.2
British Virgin Islands (details),"23,000",94.0,9,85
Brunei (details),"29,000",7.1,,
Bulgaria (details),"6,364,000",85.0,1,84
Burkina Faso (details),"3,746,000",22.0,18,4
Burundi (details),"7,662,000",75.0,60,15
Cambodia (details),"148,000",1.0,0.15,0.85
Cameroon (details),"15,390,000",73,44.4,29.3
Canada (details),"19,300,000",53.3,29.9,26
Cape Verde (details),"487,000",89.1,78.7,10.4
Cayman Islands (details),"42,000",73.8,,
Central African Republic (details),"2,302,000",80,29,51
Chad (details),"4,150,000",35.0,20,15
Chile (details),"9,900,000",68,55,13
People's Republic of China (details),"31,220,000-34,610,000/49,170,000",2.5-3.5,0.46-0.69,2-2.89
Colombia (details),"43,560,000",92,79,13
Comoros (details),"15,000",2.1,,
Cook Islands (details),"19,000",86,16.8,69.6
"Congo, Republic of (details)","3,409,000",90.7,50,40
"Congo, Democratic Republic of (details)","63,150,000",92,50,42
Costa Rica (details),"4,000,000",82,57,25
Côte d'Ivoire (details),"7,075,000",32.8,28.9,3.9
Croatia (details),"4,107,000",90.1,86.2,4.7
Cuba (details),"6,670,000",65,52.7,7.5
Cyprus (details),"863,000",79,1,78
Czech Republic (details),"1,175,000",34,29.0,5.0
Denmark (details),"4,400,754",79,1,77.8
Djibouti (details),"53,000",6.0,1,5
Dominica (details),"59,000",88.7,61,27
Dominican Republic (details),"9,734,000",83,65,18
East Timor (details),"1,152,000",99.1,96.9,2.2
Ecuador (details),"14,099,000",94.0,74,20
Egypt (details),"9,029,000",10.0,,
El Salvador (details),"5,073,000",81.9,52.6,29.3
Equatorial Guinea (details),"683,000",88.7,80.7,8.0
Eritrea (details),"3,577,000",67,4,54
Estonia (details),"310,000",45,3,42
Eswatini (details),"994,000",82.7,25,57.7
Ethiopia (details),"77,477,000",75,0.7,63.4
Falkland Islands (details),"3,000",94.3,,94
Faroe Islands (details),"33,000",95.4,,94
Fiji (details),"540,000",64.4,8.9,55.5
Finland (details),"3,862,000",69.8,0.3,69.5
France (details),"41,000,000-46,000,000",51.1-58/63-66,50-63/54,4
Gabon (details),"1,081,000",88.0,41.9,46.1
Gambia (details),"79,000",4.2,,
Georgia (details),"3,930,000",88.6,0.9,87.7
Germany (details),"44,861,000",53.9,26.7,27.2
Ghana (details),"19,300,000",71.2,13.1,58.1
Greece (details),"10,000,000",93,<1,97.3
Greenland (details),"55,000",96.6,,96.6
Grenada (details),"101,000",97.3,53,45
Guatemala (details),"14,018,000",87,47,40
Guinea (details),"1,032,000",8.9,5,5
Guinea-Bissau (details),"165,000",10.0,10.0,
Guyana (details),"434,000",64,8,50
Haiti (details),"9,597,000",96.0,80.0,16.0
Honduras (details),"6,660,000",88,47,41
Hong Kong (details),"1,357,000",18.4,5.0,6.8
Hungary (details),"5,254,179- 6,501,000",52.87-65.0,38.96-58.0,13.91
Iceland (details),"272,200",72.3,3.9,68.4
India (details),"30,000,000",2.3,1.3,1.0
Indonesia (details),"28,600,000",10.72,3.12,7.6
Iran (details),"380,000-1,500,000",0.4-1.5,,0.4-1.5
Iraq (details),"500,000",1.2,,1.2
Ireland (details),"3,992,000 (2016)",83.8,78.2 (2016),5.6 (2016)
Israel (details),"266,000",3.5,,3.5
Italy (details),"53,230,000",83,81.2,2
Jamaica (details),"1,784,000",65.3,2,63.3
Japan (details),"1,915,294",1.1,0.5,0.6
Jordan (details),"388,000",6.0,,
Kazakhstan (details),"4,150,000",26.2,2.3,23.9
Kenya (details),"34,774,000",85.1,23.4,61.7
"Korea, North (details)","406,000",1.7,,
"Korea, South (details)","14,601,000",27.6,7.9,19.7
Kuwait (details),"458,000",15.0,3.2,12.8
Kyrgyzstan (details),"610,000-944,000",11.4-17.0,,
Laos (details),"145,000",2.2,1,1
Latvia (details),"1,570,000",70-80,24.1-25.1,46.8-54.9
Lebanon (details),"1,600,000-1,800,000",38.0-41.0,26,15
Lesotho (details),"1,876,000",90.0,45,45
Liberia (details),"1,391,000",85.5,,85.5
Libya (details),"170,000",2.7,0.5,1.5
Liechtenstein (details),"30,000",84.4,75.9,8.5
Lithuania (details),"2,827,000",81.4-86.0,77.2-80.0,5.6-6.0
Luxembourg (details),"360,000",72.4,68.7,3.7
Madagascar (details),"22,322,966",85.0,,
Malawi (details),"12,538,000",77-86.9,,
Malaysia (details),"2,820,000",9.2,,
Maldives (details),300,0.08,,
Mali (details),"348,000",2.4,,
Malta (details),"400,000",91.6,88.6,3.0
Mauritania (details),"5,000",0.14,,
Mauritius (details),"418,000",32.2,,
Mexico (details),"111,959,525",88.9,77.7,11.2
"Micronesia, Federated States of (details)","106,000",95.4,,
Moldova (details),"3,480,000",95.3,2.0,93.3
Monaco (details),"30,000",82.6,77.0,
Mongolia (details),"42,859",1.3,,
Montenegro (details),"500,000",78.8,3.4,72.4
Morocco (details),"336,000",1,,
Mozambique (details),"13,121,000",56.1,28.4,27.7
Myanmar (details),"3,790,000",6.2,1,5.2
Namibia (details),"1,991,000",90.0,13.7,76.3
Nepal (details),"269,000",0.9,0.1,0.8
Netherlands (details),"5,750,000–7,900,000[citation needed]",37-43.8,"22 (registered, 2018) - 23.7",15 (2018)- 20.1
New Zealand (details),"1,738,638 (2018)",37.0,10.0 (2018),27.0 (2018)
Nicaragua (details),"5,217,000",84.6,58.8,25.8
Niger (details),"85,000",0.5,,5
Nigeria (details),"74,400,000–107,000,000",45.9,10.6,35.3
North Macedonia (details),"1,468,532",70.7,0.3,64.7
Norway (details),"3,844,000",76.7,2.4,73.8 (2018)
Oman (details),"180,000",6.5,,
Pakistan (details),"3,300,000",1.6,0.8,0.8
Palau (details),"16,000",77.9,65,12.9
Panama (details),"3,057,000",92.0,80,12
Papua New Guinea (details),"6,800,000",97,27,70
Paraguay (details),"6,260,000",96,88,8
Peru (details),"27,635,000",87,77,10
Philippines (details),"86,500,000",85,80,5
Pitcairn Islands (details),50,100.0,,100
Poland (details),"36,090,000",94.3,86.3,8
Portugal (details),"10,110,000",84.3,81.0,3.3
Puerto Rico (details),"3,878,000",89,56,33
Qatar (details),"263,000",13.8,,
Romania (details),"18,067,000",98.0,11.0,87.0
Russia (details),"66,000,000–99,775,000",46.6-77.0,<0.1,46.6-77.0
Rwanda (details),"9,619,000",93.6,56.9,26
San Marino (details),"31,000",91.6,90.5,1.1
Saudi Arabia (details),"1,500,000",5,,
Senegal (details),"570,000",4.2,,
Serbia (details),"7,260,000",91.0,5.0,86.0
Seychelles (details),"80,000",94.7,82,15.2
Sierra Leone (details),"619,000-1,294,000",10-20.9,,
Singapore (details),"900,000",18.0,5.7,12
Slovakia (details),"4,730,000",80.0,67.0,13.0
Slovenia (details),"1,610,000",68.0,64.0,4.0
Somalia (details),"1,000",0.01,0.0002,0.01
South Africa (details),"43,090,000",79.8,5,75
