Rank,Country/District,"Yes, important","No, unimportant"
1,Japan,14,86
2,Vietnam,15,85
3,Estonia,16,84
4,Czechia,16,84
5,Sweden,16,84
6,Austria,17,83
7,New Zealand,18,82
8,Denmark,19,80
9,Moldova,21,79
10,Norway,22,78
11,Hong Kong,24,74
12,Canada,22,78
13,Finland,23,77
14,Switzerland,23,77
15,Cyprus,25,75
16,United Kingdom,25,75
17,Latvia,29,71
18,France,30,71
19,Australia,33,67
20,Netherlands,33,67
21,Belgium,33,67
22,South Korea,33,67
23,Cuba,34,64
24,Bulgaria,34,62
25,Russia,34,66
26,Belarus,34,56
27,Azerbaijan,36,64
28,Luxembourg,39,59
29,Hungary,39,58
30,Taiwan,40,60
31,Germany,40,60
32,Uruguay,40,60
33,Lithuania,40,60
34,Ukraine,46,54
35,Slovenia,47,53
36,Slovakia,47,52
37,Spain,49,51
38,Albania,50,50
39,Poland,50,50
40,Israel,51,49
41,Kazakhstan,53,48
42,Serbia,54,44
43,Ireland,54,46
44,Uzbekistan,55,45
45,Chile,60,40
46,Belize,62,33
47,Turkey,64,36
48,Argentina,65,34
49,United States,67,33
50,Nicaragua,70,30
51,Croatia,70,30
52,Singapore,70,30
53,Jamaica,70,30
54,Montenegro,71,30
55,Greece,71,29
56,Portugal,72,28
57,Italy,72,28
58,Kyrgyzstan,72,25
59,Mexico,73,21
60,Bosnia and Herzegovina,75,25
61,United Arab Emirates,76,24
62,North Macedonia,76,22
63,Botswana,77,23
65,Nigeria,77,23
66,Philippines,77,23
67,El Salvador,77,23
68,Iran,78,22
69,Venezuela,79,21
70,Costa Rica,79,20
71,Armenia,79,19
72,Turkmenistan,80,18
73,Togo,80,13
74,Georgia,81,16
75,Ecuador,82,17
76,Colombia,83,16
77,Peru,84,14
78,Romania,84,12
79,South Africa,85,15
80,Brazil,85,15
81,Tajikistan,85,12
82,Haiti,85,12
83,Mozambique,86,14
84,Malta,86,14
85,Dominican Republic,87,13
86,Lebanon,87,12
87,Zimbabwe,88,12
88,Cote d'Ivoire,88,12
89,Burkina Faso,88,12
90,Panama,88,11
91,Angola,88,11
92,Guatemala,88,9
93,Tanzania,89,11
94,Bolivia,89,10
95,Syria,89,11
96,Iraq,89,11
97,India,90,10
98,Kuwait,91,9
99,Namibia,92,9
100,Trinidad and Tobago,92,8
101,Paraguay,92,8
102,Pakistan,92,8
103,State of Palestine,93,7
104,Sudan,93,7
105,Uganda,93,7
106,Madagascar,93,7
107,Benin,93,7
108,Nepal,93,7
109,Tunisia,93,7
110,Qatar,93,7
111,Central African Republic,94,6
112,Kenya,94,6
113,Liberia,94,6
114,Democratic Republic of the Congo,94,6
115,Bahrain,94,6
116,Ghana,95,5
117,Zambia,95,5
118,Algeria,95,4
119,Chad,95,5
120,Rwanda,95,5
121,Republic of the Congo,95,5
122,Mali,95,5
138,Burundi,96,4
139,Djibouti,96,4
123,Egypt,96,4
124,Cameroon,96,4
125,Malaysia,96,3
127,Cambodia,96,3
146,Bangladesh,96,4
126,Senegal,96,4
127,Oman,96,4
128,Jordan,96,4
130,Saudi Arabia,96,4
131,Myanmar,96,4
132,Laos,96,4
133,Guinea,96,4
134,Morocco,96,4
135,Comoros,96,4
136,Indonesia,96,4
137,Afghanistan,97,3
138,Malawi,97,3
139,Mauritania,97,3
140,Sri Lanka,97,3
141,Thailand,98,2
142,Somalia,98,2
143,Yemen,98,2
144,Niger,98,2
