Countries,Total,core population pct,pmp,Total,pct,pmp,Total,pct,pmp,Total,pct,pmp,Nationalofficial
Israel,"6,340,600",43,"729,090","6,559,300",36,"754,238","6,778,000",32,"779,386","6,778,000",28,"779,386","6,980,000(2021)"
United States,"5,700,000",39,"17,320","8,000,000",44,"24,309","10,000,000",48,"30,386","12,000,000",50,"36,463","6,543,820(2018)"
France,"448,000",3.0,"6,910","550,000",3.1,"8,483","650,000",3.1,"10,026","750,000",3.2,"11,568",
West Bank,"432,800",2.9,"140,280","437,800",2.4,"141,901","442,700",2.1,"143,489","442,700",1.9,"143,489",
Canada,"393,000",2.7,"10,500","450,000",2.5,"12,023","550,000",2.6,"14,695","700,000",2.9,"18,702","143,665(2016)"
United Kingdom,"292,000",2.0,"4,370","330,000",1.8,"4,939","370,000",1.8,"5,537","410,000",1.7,"6,136","263,346(2011)"
Argentina,"175,000",1.2,"3,990","260,000",1.4,"5,779","310,000",1.5,"6,891","360,000",1.5,"8,002",
Russia,"155,000",1.0,"1,060","320,000",1.8,"2,188","460,000",2.2,"3,146","600,000",2.5,"4,103","157,673(2010)"
Australia,"118,000",0.80,"4,660","130,000",0.72,"5,134","145,000",0.69,"5,726","160,000",0.67,"6,319","91,022(2016)"
Germany,"118,000",0.80,"1,420","150,000",0.83,"1,805","225,000",1.1,"2,708","275,000",1.2,"3,309","83,430(2011)"
Brazil,"92,000",0.62,440,"120,000",0.67,574,"150,000",0.71,717,"180,000",0.76,861,"107,329(2011)"
South Africa,"52,300",0.35,890,"65,000",0.36,"1,106","75,000",0.36,"1,276","85,000",0.36,"1,446","49,469(2016)"
Hungary,"47,200",0.32,"4,830","75,000",0.42,"7,675","100,000",0.48,"10,233","130,000",0.55,"13,303","10,965(2011)"
Ukraine,"45,000",0.30,"1,070","90,000",0.50,"2,140","140,000",0.67,"3,329","200,000",0.84,"4,756","103,878(2001)"
Mexico,"40,000",0.27,320,"45,000",0.25,360,"50,000",0.24,400,"65,000",0.27,520,"67,476(2010)"
Netherlands,"29,800",0.20,"1,250","43,000",0.24,"1,563","53,000",0.25,"2,188","63,000",0.26,"2,813",0.1%(2016)
Belgium,"29,000",0.20,"2,530","35,000",0.19,"3,053","40,000",0.19,"3,490","45,000",0.19,"3,926",
Italy,"27,000",0.18,450,"34,000",0.19,560,"41,000",0.20,676,"48,000",0.20,791,
Switzerland,"18,500",0.13,"2,160","22,000",0.12,"2,569","25,000",0.12,"2,919","28,000",0.12,"3,269","16,763(2011)"
Uruguay,"16,000",0.11,"4,690","20,000",0.11,"5,685","24,000",0.11,"6,822","28,000",0.12,"7,959",
Chile,"16,000",0.11,840,"20,000",0.11,"1,050","24,000",0.11,"1,260","28,000",0.12,"1,470","14,976(2002)"
Sweden,"15,000",0.10,"1,460","20,000",0.11,"1,947","25,000",0.12,"2,433","30,000",0.13,"2,920",
Turkey,"14,500",0.098,180,"19,000",0.11,234,"21,000",0.100,259,"23,000",0.097,284,
Spain,"13,000",0.088,280,"16,000",0.089,345,"19,000",0.090,409,"22,000",0.092,474,
Austria,"10,300",0.070,"1,160","14,000",0.078,"1,577","17,000",0.081,"1,915","20,000",0.084,"2,252","8,140(2001)"
Panama,"10,000",0.068,"2,370","11,000",0.061,"2,607","12,000",0.057,"2,844","13,000",0.055,"3,081",
Iran,"9,500",0.064,110,"10,500",0.058,122,"12,000",0.057,139,"13,000",0.055,151,"9,826(2016)"
Romania,"8,900",0.060,460,"13,000",0.072,672,"17,000",0.081,879,"20,000",0.084,"1,034","3,519(2011)"
Belarus,"8,500",0.057,900,"17,000",0.094,"1,800","25,000",0.12,"2,647","33,000",0.14,"3,494","13,705(2019)"
New Zealand,"7,500",0.051,"1,510","8,500",0.047,"1,711","9,500",0.045,"1,913","10,500",0.044,"2,114","5,274(2018)"
Azerbaijan,"7,200",0.049,720,"10,500",0.058,"1,050","15,500",0.074,"1,550","20,500",0.086,"2,050","9,084(2009)"
Venezuela,"6,000",0.041,210,"10,000",0.055,350,"12,000",0.057,420,"14,000",0.059,490,"9,500(2010)"
