Location,Region,Count,"Rate per 100,000",Male (%),Female (%),National (%),Foreign (%),Occupancy (%),Remand (%)
Afghanistan *,Asia,"30,748",87,97.4,2.6,99.1,0.9,179.9,31.3
Albania *,Europe,"4,641",164,98.0,2.0,98.1,1.9,84.7,50.7
Algeria,Africa,"65,000",153,98.5,1.5,96.2,3.8,89.3,12.0
American Samoa,Oceania,193,345,95.9,4.1,37.8,62.2,166.2,14.9
Andorra,Europe,43,55,91.1,8.9,41.1,58.9,30.3,57.1
Angola,Africa,"24,000",93,97.3,2.7,,,110.8,45.8
Anguilla,Americas,55,367,100.0,0.0,70.9,29.1,91.7,45.5
Antigua and Barbuda,Americas,287,302,95.2,4.8,69.4,30.6,191.3,37.0
Argentina *,Americas,"103,209",230,95.2,4.8,93.5,6.5,122.1,45.9
Armenia *,Asia,"2,197",74,96.8,3.2,94.8,5.2,41.1,41.0
Aruba,Americas,170,165,96.5,3.5,51.9,48.1,68.4,16.6
Australia * [Note],Oceania,"41,060",160,92.3,7.7,82.9,17.1,112.2,31.9
Austria *,Europe,"8,471",95,93.4,6.6,46.8,53.2,95.7,21.0
Azerbaijan,Asia,"21,008",208,97.1,2.9,97.9,2.1,82.7,16.9
Bahamas,Americas,"1,778",442,96.9,3.1,,,177.8,42.0
Bahrain *,Asia,"3,485",234,95.3,4.7,76.3,23.7,110.2,25.7
Bangladesh *,Asia,"83,107",48,96.1,3.9,99.4,0.6,195.8,81.3
Barbados,Americas,850,296,97.4,2.6,86.2,13.8,70.7,54.7
Belarus,Europe,"32,556",345,89.2,10.8,96.9,3.1,83.4,16.6
Belgium *,Europe,"10,883",95,95.6,4.4,55.8,44.2,120.6,37.6
Belize *,Americas,"1,222",307,97.2,2.8,88.9,11.1,87.3,40.0
Benin *,Africa,"8,502",70,96.7,3.3,,,151.3,75.8
Bermuda,Americas,175,278,97.1,2.9,88.5,11.5,59.7,20.2
Bhutan *,Asia,"1,119",145,95.7,4.3,93.2,6.8,,
Bolivia *,Americas,"19,161",164,92.0,8.0,96.7,3.3,363.9,67.2
Bosnia and Herzegovina,Europe,"1,813",83,96.8,3.2,96.4,3.6,102.1,19.8
Republika Srpska,Europe,763,64,98.1,1.9,97.6,2.4,50.9,14.4
Botswana,Africa,"4,343",208,95.3,4.7,68.4,31.6,100.9,24.5
Brazil *,Americas,"759,518",357,95.1,4.9,99.7,0.3,151.9,30.1
Brunei,Asia,841,186,88.1,11.9,70.8,29.2,143.8,7.1
Bulgaria *,Europe,"7,553",109,97.0,3.0,97.0,3.0,80.9,19.1
Burkina Faso,Africa,"7,621",37,98.0,2.0,95.9,4.1,156.6,40.5
Burundi,Africa,"12,761",96,94.2,5.8,98.8,1.2,304.3,39.3
Cambodia *,Asia,"36,600",220,91.8,8.2,96.3,3.7,206.1,71.9
Cameroon,Africa,"30,701",124,97.3,2.7,95.1,4.9,171.4,58.1
Canada *,Americas,"38,570",104,94.4,5.6,,,102.2,39.0
Cape Verde *,Africa,"1,549",296,97.1,2.9,,,109.4,31.7
