Country/Territory,UN Region,Estimate,Year,Estimate,Year,Estimate,Year
Liechtenstein *,Europe,—,—,"169,049",2019,"180,227",2020
Monaco *,Europe,—,—,"173,688",2020,"173,696",2020
Luxembourg *,Europe,"127,673",2022,"135,683",2021,"117,182",2020
Bermuda *,Americas,—,—,"110,870",2021,"123,945",2020
Ireland *,Europe,"102,217",2022,"99,152",2021,"86,251",2020
Norway *,Europe,"92,646",2022,"89,203",2021,"66,871",2020
Switzerland *,Europe,"92,434",2022,"93,457",2021,"86,919",2020
Isle of Man *,Europe,—,—,"86,482",2019,—,—
Cayman Islands *,Americas,—,—,"85,347",2021,"95,191",2020
Qatar *,Asia,"82,887",2022,"61,276",2021,"50,815",2020
Singapore *,Asia,"79,426",2022,"72,794",2021,"58,114",2020
United States *,Americas,"75,180",2022,"69,288",2021,"63,123",2020
Channel Islands *,Europe,—,—,"74,463",2007,—,—
Iceland *,Europe,"73,981",2022,"68,384",2021,"63,644",2020
Australia *,Oceania,"66,408",2022,"59,934",2021,"55,823",2020
Faroe Islands *,Europe,—,—,"66,321",2020,—,—
Denmark *,Europe,"65,713",2022,"67,803",2021,"61,477",2020
Canada *,Americas,"56,794",2022,"52,051",2021,"43,560",2020
Sweden *,Europe,"56,361",2022,"60,239",2021,"53,575",2020
Netherlands *,Europe,"56,298",2022,"58,061",2021,"53,334",2020
Israel *,Asia,"55,359",2022,"51,430",2021,"47,034",2020
Greenland *,Americas,—,—,"54,570",2020,"55,139",2020
Austria *,Europe,"52,062",2022,"53,268",2021,"48,106",2020
Finland *,Europe,"50,818",2022,"53,983",2021,"48,685",2020
Belgium *,Europe,"50,598",2022,"51,768",2021,"45,028",2020
Hong Kong *,Asia,"49,700",2022,"49,661",2021,"46,611",2020
British Virgin Islands *,Americas,—,—,—,—,"49,357",2020
Germany *,Europe,"48,398",2022,"50,802",2021,"45,909",2020
United Arab Emirates *,Asia,"47,793",2022,"36,285",2020,"36,285",2020
San Marino *,Europe,"47,700",2022,"45,516",2020,"45,832",2020
United Kingdom *,Europe,"47,318",2022,"47,334",2021,"40,718",2020
New Zealand *,Oceania,"47,278",2022,"48,802",2021,"43,972",2020
Brunei *,Asia,"42,939",2022,"31,723",2021,"27,437",2020
France *,Europe,"42,330",2022,"43,519",2021,"38,959",2020
Andorra *,Europe,"40,723",2022,"43,048",2021,"37,072",2020
U.S. Virgin Islands *,Americas,—,—,"39,552",2020,—,—
