Country,1996,2016
Afghanistan,–,0.2
Albania,2.59,7.5
Algeria,0.27,0.9
Andorra,–,11.3
Angola,1.58,6.4
Antigua and Barbuda,–,7.0
Argentina,9.58,9.8
Armenia,0.84,5.5
Australia,9.55,10.6
Austria,11.90,11.6
Azerbaijan,4.16,0.8
Bahamas,–,4.4
Bahrain,–,1.9
Bangladesh,–,0.0
Barbados,8.37,9.6
Bhutan,–,0.6
Belarus,8.14,11.2
Belgium,10.94,12.1
Belize,5.85,6.7
Benin,1.39,3.0
Bolivia,3.35,4.8
Bosnia and Herzegovina,8.25,6.4
Botswana,2.68,8.4
Brazil,5.57,7.8
Brunei,0.75,0.4
Bulgaria,9.52,12.7
Burkina Faso,0.45,8.2
Burundi,1.17,7.5
Cambodia,0.34,6.7
Cameroon,1.58,8.9
Canada,7.52,8.9
Cape Verde,3.86,5.7
Central African Republic,0.70,3.3
Chad,0.23,1.5
Chile,7.06,9.3
China,5.39,7.2
Colombia,6.41,5.8
Comoros,–,0.9
Congo,1.56,7.8
Cook Islands,–,10.6
Costa Rica,5.72,4.8
Ivory Coast,1.43,8.4
Croatia,11.75,8.9
Cuba,3.53,6.1
Cyprus,10.00,10.8
Czech Republic,14.35,14.4
Denmark,12.15,10.4
Djibouti,0.47,0.5
Dominica,–,8.2
Dominican Republic,5.90,6.9
DR Congo,0.21,2.6
Ecuador,1.66,4.4
Egypt,0.53,0.4
Equatorial Guinea,–,11.3
El Salvador,2.54,3.7
Eritrea,0.95,1.3
Estonia,8.07,11.6
Eswatini,1.18,9.9
Ethiopia,1.02,2.8
Fiji,1.82,3.0
Finland,8.26,10.7
France,13.74,12.6
Gabon,6.76,11.5
Gambia,0.16,3.8
Georgia,4.50,9.8
Germany,11.67,13.4
Ghana,0.41,2.7
Greece,10.41,10.4
Grenada,–,9.3
Guatemala,1.99,2.4
Guinea,0.17,1.3
Guinea-Bissau,1.59,4.8
Guyana,14.03,6.3
Haiti,6.55,5.8
Honduras,2.41,4.0
Hungary,12.85,11.4
Iceland,4.88,9.1
India,0.99,5.7
Indonesia,0.13,0.8
Iran,–,1.0
Iraq,0.61,0.4
Ireland,11.90,13.0
Israel,1.75,3.8
Italy,9.62,7.5
Jamaica,3.90,4.2
Japan,7.85,8.0
Jordan,–,0.7
Kazakhstan,7.71,7.7
Kenya,1.66,3.4
Kiribati,–,0.4
Kuwait,–,0.0
Kyrgyzstan,2.20,6.2
Laos,4.12,10.4
Latvia,8.70,12.9
Lebanon,5.43,1.5
Lesotho,1.12,5.0
Liberia,5.68,5.8
Libya,–,0.0
Lithuania,6.23,15.0
Luxembourg,14.35,13.0
Macedonia,4.86,8.1
Madagascar,1.25,1.9
Malawi,0.42,3.7
Malaysia,0.87,0.9
Maldives,2.08,2.7
Mali,–,1.3
Malta,6.91,8.1
Mauritania,–,0.0
Mauritius,4.33,3.6
Mexico,5.04,6.5
Micronesia,–,2.5
Moldova,8.62,15.2
Mongolia,1.95,7.4
Montenegro,–,8.0
Morocco,0.58,0.6
Mozambique,0.45,2.4
Myanmar,0.21,4.8
Namibia,–,9.8
Nauru,–,6.0
Nepal,–,2.0
Netherlands,9.80,8.7
Netherlands Antilles,8.78,–
New Caledonia,11.26,–
New Zealand,8.85,10.7
Nicaragua,2.34,5.2
Niger,–,0.5
Nigeria,0.66,13.4
Niue,–,7.0
North Korea,2.56,3.9
Norway,4.97,7.5
Oman,–,0.8
Pakistan,–,0.3
Panama,5.74,7.9
Papua New Guinea,1.02,1.2
Paraguay,9.71,7.2
Peru,4.00,6.3
Philippines,6.77,6.6
Poland,7.93,11.6
Portugal,13.57,12.3
Qatar,–,2.0
Romania,10.88,12.6
Russia,8.08,11.7
Rwanda,0.71,9.0
Saint Kitts and Nevis,–,9.4
Saint Lucia,–,9.9
Saint Vincent and the Grenadines,–,8.2
Samoa,–,2.5
São Tomé and Príncipe,–,6.8
Saudi Arabia,–,0.2
Senegal,0.41,0.7
Serbia,–,11.1
Seychelles,–,13.8
Sierra Leone,–,5.7
Singapore,2.10,2.5
Slovakia,13.00,11.5
Slovenia,15.15,12.6
Solomon Islands,0.56,1.4
Somalia,–,0.0
South Africa,7.72,9.3
South Korea,14.40,10.2
Spain,11.09,10.0
Sri Lanka,0.21,4.3
Sudan,0.26,0.5
Suriname,4.68,5.1
Syria,0.21,0.3
Sweden,6.04,9.2
Switzerland,11.27,11.5
Tajikistan,1.78,3.3
Tanzania,0.60,9.4
Thailand,8.64,8.3
East Timor,–,2.1
Togo,1.01,3.1
Tonga,–,1.5
Trinidad and Tobago,3.69,8.4
Tunisia,0.89,1.9
Turkey,1.35,2.0
Turkmenistan,1.17,5.4
Tuvalu,–,1.7
Uganda,0.46,9.5
Ukraine,2.31,8.6
United Arab Emirates,3.06,3.8
United Kingdom,–,11.4
United States,8.90,9.8
Uruguay,8.17,10.8
Uzbekistan,1.55,2.7
Vanuatu,0.96,1.0
Venezuela,9.41,5.6
Vietnam,1.21,8.3
Yemen,0.15,0.1
Zambia,0.63,4.8
Zimbabwe,2.78,4.8
