Rank,Country,kilocalories,Year
1,Ireland,"3,885",2018
2,United States,"3,782",2018
3,Belgium,"3,769",2018
4,Turkey,"3,711",2018
5,Austria,"3,695",2018
6,Iceland,"3,654",2018
7,Romania,"3,581",2018
8,Canada,"3,566",2018
9,Germany,"3,554",2018
10,Poland,"3,537",2018
11,Israel,"3,528",2018
12,Italy,"3,503",2018
13,France,"3,502",2018
14,Montenegro,"3,500",2018
15,Portugal,"3,480",2018
16,Kuwait,"3,471",2018
17,Luxembourg,"3,465",2018
18,Tunisia,"3,450",2018
19,South Korea,"3,420",2018
20,Malta,"3,420",2018
21,Morocco,"3,412",2018
22,Lithuania,"3,411",2018
23,Denmark,"3,401",2018
24,Australia,"3,391",2018
25,Greece,"3,382",2018
26,Norway,"3,371",2018
27,Albania,"3,360",2018
28,Switzerland,"3,354",2018
29,Russia,"3,345",2018
30,United Kingdom,"3,344",2018
31,Cuba,"3,344",2018
32,Finland,"3,343",2018
33,Algeria,"3,322",2018
33,Spain,"3,322",2018
35,Hungary,"3,316",2018
36,United Arab Emirates,"3,314",2018
37,Argentina,"3,307",2018
38,Bosnia and Herzegovina,"3,307",2018
39,Saudi Arabia,"3,307",2018
40,Brazil,"3,301",2018
41,Netherlands,"3,297",2018
42,Egypt,"3,292",2018
43,Czech Republic,"3,277",2018
44,Belarus,"3,270",2018
45,Hong Kong,"3,267",2018
46,Estonia,"3,247",2018
47,Latvia,"3,229",2018
48,China,"3,206",2018
49,Uruguay,"3,202",2018
50,New Zealand,"3,191",2018
51,Slovenia,"3,191",2018
52,Sweden,"3,184",2018
53,Mexico,"3,157",2018
54,Azerbaijan,"3,149",2018
55,Colombia,"3,114",2018
56,Ukraine,"3,102",2018
57,Iran,"3,087",2018
58,Kiribati,"3,078",2018
59,Croatia,"3,074",2018
60,North Macedonia,"3,072",2018
61,Kazakhstan,"3,067",2018
62,Mauritius,"3,051",2018
63,Ghana,"3,035",2018
64,Samoa,"3,030",2018
65,Chile,"3,029",2018
66,Costa Rica,"3,029",2018
67,Vietnam,"3,025",2018
68,Cyprus,"3,019",2018
69,Uzbekistan,"3,011",2018
70,Armenia,"2,997",2018
71,Trinidad and Tobago,"2,991",2018
72,Brunei,"2,985",2013
73,Taiwan,"2,983",2018
74,Saint Vincent and the Grenadines,"2,968",2018
75,Barbados,"2,956",2018
76,Dominica,"2,952",2018
77,Oman,"2,940",2018
78,Guyana,"2,913",2018
79,South Africa,"2,899",2018
80,Dominican Republic,"2,892",2018
81,Indonesia,"2,884",2018
82,Mauritania,"2,877",2018
83,Mali,"2,873",2018
84,Slovakia,"2,871",2018
85,New Caledonia (France),"2,858",2017
86,Lebanon,"2,857",2018
87,Bulgaria,"2,854",2018
88,Panama,"2,851",2018
89,Malaysia,"2,845",2018
90,Georgia,"2,835",2018
91,Turkmenistan,"2,830",2018
92,Serbia,"2,828",2018
93,Thailand,"2,804",2018
94,Jamaica,"2,792",2018
95,Fiji,"2,781",2018
96,Ivory Coast,"2,778",2018
97,Peru,"2,775",2018
98,Belize,"2,775",2018
99,Nepal,"2,769",2018
100,Paraguay,"2,768",2018
101,Laos,"2,758",2018
102,Benin,"2,755",2018
103,Guinea,"2,746",2018
104,Burkina Faso,"2,737",2018
105,Sri Lanka,"2,737",2018
106,Cameroon,"2,733",2018
107,Jordan,"2,732",2018
108,Kyrgyzstan,"2,729",2018
109,Japan,"2,705",2018
110,Suriname,"2,698",2018
111,El Salvador,"2,696",2018
112,Djibouti,"2,694",2018
113,Honduras,"2,673",2018
114,Myanmar,"2,673",2018
115,Philippines,"2,662",2018
116,Bahamas,"2,655",2018
117,Gabon,"2,633",2018
118,Saint Lucia,"2,618",2018
119,Iraq,"2,608",2018
120,Vanuatu,"2,607",2018
121,Ecuador,"2,606",2018
122,Niger,"2,601",2018
123,Nicaragua,"2,582",2018
124,Saint Kitts and Nevis,"2,582",2018
125,Mongolia,"2,579",2018
126,Sudan,"2,578",2018
127,Nigeria,"2,572",2018
128,Bangladesh,"2,563",2018
129,Guatemala,"2,551",2018
130,Senegal,"2,545",2018
131,Cape Verde,"2,541",2018
132,India,"2,533",2018
133,Gambia,"2,533",2018
134,Cambodia,"2,492",2018
135,Pakistan,"2,486",2018
136,Namibia,"2,469",2018
137,São Tomé and Príncipe,"2,446",2018
138,Antigua and Barbuda,"2,445",2018
139,Togo,"2,443",2018
140,Eswatini,"2,426",2018
141,Solomon Islands,"2,415",2018
142,Bolivia,"2,412",2018
143,Grenada,"2,402",2018
144,Malawi,"2,392",2018
145,Angola,"2,385",2018
146,Moldova,"2,383",2018
147,Tanzania,"2,373",2018
148,Sierra Leone,"2,369",2018
149,Botswana,"2,342",2018
150,Ethiopia,"2,338",2018
151,Lesotho,"2,323",2018
152,Timor-Leste,"2,287",2018
153,Republic of the Congo,"2,285",2018
154,Maldives,"2,235",2018
155,Guinea-Bissau,"2,229",2018
156,Kenya,"2,197",2018
157,Rwanda,"2,188",2018
158,Liberia,"2,168",2018
159,Yemen,"2,154",2018
160,Haiti,"2,121",2018
161,Venezuela,"2,120",2018
162,Chad,"2,115",2018
163,Tajikistan,"2,109",2018
164,Mozambique,"2,103",2018
165,Afghanistan,"2,040",2018
166,North Korea,"2,019",2018
167,Zambia,"2,002",2018
168,Uganda,"1,981",2018
169,Madagascar,"1,938",2018
170,Zimbabwe,"1,908",2018
171,Central African Republic,"1,786",2018
