Country,Subregion,Region,10%,20%,10%,Year,%,Year
Afghanistan,Southern Asia,Asia,,,,,,
Albania,Southern Europe,Europe,7.2,4.2,7.2,2004,30.8,2019
Algeria,Northern Africa,Africa,9.6,4.0,9.6,1995,27.6,2011
Angola,Middle Africa,Africa,,9.0,,,51.3,2018
Argentina,South America,Americas,31.6,8.8,35.0,2007,42.3,2020
Armenia,Western Asia,Asia,8.0,5.0,25.8,2004,25.2,2020
Australia,"Australia, New Zealand",Oceania,12.5,6.3,12.7,1994,34.3,2018
Austria,Western Europe,Europe,6.9,4.9,6.8,2004,30.2,2019
Azerbaijan,Western Asia,Asia,9.7,,9.5,2001,33.7,2008
Bangladesh,Southern Asia,Asia,7.5,4.8,7.5,2000,32.4,2016
Belarus,Eastern Europe,Europe,6.9,3.6,6.9,2002,24.4,2020
Belgium,Western Europe,Europe,8.2,4.2,8.3,2000,27.2,2019
Belize,Central America,Americas,28.8,,19.9,2013,49.8,2014
Benin,Western Africa,Africa,9.4,16.3,9.4,2003,37.8,2018
Bhutan,Southern Asia,Asia,,6.6,,,37.4,2017
Bolivia,South America,Americas,93.9,11.8,157.3,2002,43.6,2020
Bosnia and Herzegovina,Southern Europe,Europe,5.4,5.4,5.5,2001,33.0,2011
Botswana,Southern Africa,Africa,43.0,15.0,,,53.3,2015
Brazil,South America,Americas,16.5,21.1,16.3,2013,48.9,2020
Bulgaria,Eastern Europe,Europe,7.0,7.3,8.8,2005,40.3,2019
Burkina Faso,Western Africa,Africa,11.6,5.3,11.5,2003,47.3,2018
Burundi,Eastern Africa,Africa,19.3,6.7,19.3,1998,38.6,2013
Cambodia,South-eastern Asia,Asia,12.2,,12.0,2004,37.9,2008
Cameroon,Middle Africa,Africa,15.7,11.5,15.4,2001,46.6,2014
Canada,Northern America,Americas,9.4,6.2,9.5,2000,33.3,2017
Cape Verde,Western Africa,Africa,,10.7,,,42.4,2015
Central African Republic,Middle Africa,Africa,69.2,18.5,68.1,1993,56.2,2008
Chad,Middle Africa,Africa,,10.0,,,37.5,2018
Chile,South America,Americas,26.2,11.2,32.1,2003,44.9,2020
China,Eastern Asia,Asia,21.6,10.2,21.8,2004,38.2,2019
Colombia,South America,Americas,60.4,13.4,56.3,2008,54.2,2020
Comoros,Eastern Africa,Africa,,11.2,,,45.3,2014
