Countries,LE at birth All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,All,M,F,FΔM,Δ2000,
Japan,84.3,81.5,86.9,5.4,3.2,74.1,72.6,75.5,2.9,2.5,26.3,23.9,28.6,4.7,2.2,20.4,18.8,21.8,3.0,1.7,
Switzerland,83.4,81.8,85.1,3.3,3.7,72.5,72.2,72.8,0.6,3.2,25.4,24.1,26.6,2.5,2.4,19.5,18.8,20.2,1.4,1.8,
South Korea,83.3,80.3,86.1,5.8,7.1,73.1,71.3,74.7,3.4,5.7,25.8,23.4,27.9,4.5,5.1,19.8,18.2,21.2,3.0,3.9,
Singapore,83.2,81.0,85.5,4.5,4.8,73.6,72.4,74.7,2.3,4.1,25.5,23.8,27.2,3.4,4.0,20.0,18.8,21.0,2.2,3.4,
Spain,83.2,80.7,85.7,5.0,4.1,72.1,71.3,72.9,1.6,3.0,25.4,23.3,27.3,4.0,2.7,19.2,18.0,20.3,2.3,1.9,
Cyprus,83.1,81.1,85.1,4.0,4.4,72.4,71.8,73.0,1.2,3.3,24.9,23.3,26.4,3.1,3.0,19.0,18.1,19.9,1.8,2.2,
Italy,83.0,80.9,84.9,4.0,3.6,71.9,71.2,72.6,1.4,2.9,25.0,23.4,26.5,3.1,2.5,18.9,17.9,19.8,1.9,1.8,
Australia,83.0,81.3,84.8,3.5,3.3,70.9,70.2,71.7,1.5,2.3,25.6,24.4,26.8,2.4,2.5,19.0,18.2,19.7,1.5,1.7,
Israel,82.6,80.8,84.4,3.6,4.0,72.4,72.0,72.7,0.7,3.2,24.9,23.6,26.0,2.4,3.0,19.3,18.7,19.9,1.2,2.2,
Norway,82.6,81.1,84.1,3.0,4.1,71.4,71.0,71.6,0.6,3.0,24.7,23.5,25.8,2.3,2.7,18.5,17.8,19.1,1.3,1.8,
France,82.5,79.8,85.1,5.3,3.6,72.1,71.1,73.1,2.0,2.8,25.3,23.3,27.2,3.9,2.3,19.7,18.5,20.8,2.3,1.7,
Sweden,82.4,80.8,84.0,3.2,2.8,71.9,71.7,72.1,0.4,2.0,24.5,23.3,25.6,2.3,2.1,18.9,18.3,19.4,1.1,1.5,
Luxembourg,82.4,80.6,84.2,3.6,4.2,71.6,71.1,72.0,0.9,3.3,24.4,22.9,25.8,2.9,2.6,18.5,17.7,19.3,1.6,1.8,
Iceland,82.3,80.8,83.9,3.1,2.6,72.0,71.7,72.3,0.6,2.2,24.6,23.7,25.5,1.8,2.0,19.0,18.6,19.4,0.8,1.6,
Canada,82.2,80.4,84.1,3.7,3.1,71.3,70.5,72.0,1.5,1.9,25.2,23.8,26.4,2.6,2.7,19.0,18.2,19.7,1.5,1.7,
New Zealand,82.0,80.4,83.5,3.1,3.4,70.2,69.6,70.8,1.2,2.4,24.8,23.8,25.8,2.0,2.4,18.6,17.9,19.2,1.3,1.7,
Malta,81.9,79.9,83.8,3.9,4.0,71.5,70.9,71.9,1.0,3.0,24.5,23.0,25.9,2.9,3.7,18.9,18.0,19.6,1.6,2.7,
