Country,Rate,Year,Rate,Year,Elderly Rate,Year,Rate,Year
Afghanistan *,47.0,2011,31.7,2011,20.3,2011,0.5,2011
Albania *,99.2,2012,97.2,2012,86.9,2012,1.0,2012
Algeria *,93.8,2008,75.1,2008,19.5,2008,1.0,2008
American Samoa *,97.7,1980,97.3,1980,92.7,1980,1.0,1980
Andorra *,,,,,,,,
Angola *,77.4,2014,66.0,2014,27.0,2014,0.8,2014
Anguilla *,99.1,1984,95.4,1984,88.0,1984,1.0,1984
Antigua and Barbuda *,,,98.9,2015,,,,
Argentina *,99.5,2016,99.1,2016,97.9,2016,1.0,2016
Armenia *,99.8,2011,99.7,2011,98.9,2011,1.0,2011
Aruba *,99.1,2010,96.8,2010,88.9,2010,1.0,2010
Australia *,,,,,,,,
Austria *,,,,,,,,
Azerbaijan *,99.9,2016,99.8,2016,98.4,2016,1.0,2016
Bahamas,,,,,,,,
Bahrain *,97.0,2001,86.5,2001,42.3,2001,1.0,2001
Bangladesh *,94.9,2019,74.7,2019,39.4,2019,1.03,2019
Barbados *,99.9,2014,99.6,2014,98.5,2014,1.0,2014
Belarus *,99.8,2009,99.6,2009,98.6,2009,1.0,2009
Belgium *,,,,,,,,
Belize *,77.6,1991,70.3,1991,44.8,1991,1.0,1991
Benin *,52.5,2012,32.9,2012,7.0,2012,0.6,2012
Bermuda *,,,,,,,,
Bhutan *,87.3,2012,57.0,2012,14.9,2012,0.9,2012
Bolivia *,99.4,2015,92.5,2015,67.5,2015,1.0,2015
Bonaire,,,,,,,,
Bosnia and Herzegovina *,99.7,2013,97.0,2013,86.0,2013,1.0,2013
Botswana *,97.7,2014,87.7,2014,40.7,2014,1.0,2014
Brazil *,99.0,2015,92.0,2015,74.3,2015,1.0,2015
British Virgin Islands *,,,,,,,,
Brunei *,99.4,2011,96.1,2011,61.6,2011,1.0,2011
Bulgaria *,97.9,2011,98.4,2011,97.5,2011,1.0,2011
Burkina Faso *,50.1,2014,34.6,2014,8.4,2014,0.8,2014
Burundi *,79.6,2014,61.6,2014,24.9,2014,0.9,2014
Cape Verde *,98.1,2015,86.8,2015,36.8,2015,1.0,2015
Cambodia *,92.2,2015,80.5,2015,53.1,2015,1.0,2015
Cameroon *,80.6,2010,71.3,2010,26.1,2010,0.9,2010
Canada *,,,,,,,,
Cayman Islands *,98.9,2007,98.9,2007,94.7,2007,1.0,2007
Central African Republic *,36.4,2010,36.8,2010,35.7,2010,0.6,2010
Chad *,30.8,2016,22.3,2016,7.0,2016,0.6,2016
Chile *,99.4,2015,96.9,2015,89.9,2015,1.0,2015
China *,99.8,2018,96.8,2018,73.9,2010,1.0,2018
Hong Kong *,,,,,,,,
Macau *,99.8,2016,96.5,2016,81.2,2016,1.0,2016
Colombia *,98.7,2016,94.7,2016,81.4,2016,1.0,2016
Comoros *,71.6,2012,49.2,2012,12.8,2012,0.9,2012
Congo *,80.9,2011,79.3,2011,73.1,2011,0.9,2011
DR Congo *,85.0,2016,77.0,2016,48.0,2016,0.9,2016
Cook Islands *,,,,,,,,
Costa Rica *,99.1,2011,97.4,2011,90.4,2011,1.0,2011
Croatia *,99.7,2011,99.1,2011,97.1,2011,1.0,2011
