Country/Territory,Rank,Combined,2020 Combined,Male,Female,Difference
Afghanistan,204,18.9,19.5,19.4,19.5,0.1
Albania,92,32.9,34.3,32.9,35.7,2.8
Algeria,141,28.1,28.9,28.6,29.3,0.7
American Samoa,151,25.5,27.2,26.7,27.7,1
Andorra,6,44.3,46.2,46.3,46.1,-0.2
Angola,228,15.9,15.9,15.4,16.4,1
Anguilla,82,34.8,35.7,33.7,37.6,3.9
Antigua and Barbuda,107,31.9,32.7,30.7,34.4,3.7
Argentina,111,31.7,32.4,31.1,33.6,2.5
Armenia,79,35.1,36.6,35.1,38.3,3.2
Aruba,54,39.3,39.9,38.2,41.5,3.3
Australia,70,38.7,37.5,36.5,38.5,2
Austria,14,44.0,44.5,43.1,45.8,2.7
Azerbaijan,109,32.3,32.6,31.1,34.2,3.1
The Bahamas,105,32.0,32.8,31.7,34.0,2.3
Bahrain,103,32.3,32.9,34.4,30.3,-4.1
Bangladesh,145,26.7,27.9,27.1,28.6,1.5
Barbados,56,38.6,39.5,38.4,40.7,2.3
Belarus,49,40.0,40.9,38.0,43.9,5.9
Belgium,45,41.4,41.6,40.4,42.8,2.4
Belize,174,22.7,23.9,23.0,24.8,1.8
Benin,221,18.2,17.0,16.4,17.6,1.2
Bermuda,24,43.4,43.6,41.6,45.7,4.1
Bhutan,138,27.6,29.1,29.6,28.6,-1
Bolivia,162,24.3,25.3,24.5,26.0,1.5
Bosnia and Herzegovina,28,42.1,43.3,41.6,44.8,3.2
Botswana,159,24.5,25.7,24.5,26.7,2.2
Brazil,102,34.3,33.2,32.3,34.1,1.8
British Virgin Islands,72,36.5,37.2,37.0,37.5,0.5
Brunei,117,30.2,31.1,30.5,31.8,1.3
Bulgaria,21,42.7,43.7,41.9,45.6,3.7
Burkina Faso,219,17.3,17.9,17.0,18.7,1.7
Burma,135,28.2,29.2,28.3,30.0,1.7
Burundi,220,17.0,17.7,17.4,18.0,0.6
Cape Verde,153,25.4,26.8,25.9,27.6,1.7
Cambodia,155,25.3,26.4,25.6,27.2,1.6
Cameroon,212,18.5,18.5,18.2,18.8,0.6
Canada,41,42.2,41.8,40.6,42.9,2.3
Cayman Islands,52,40.0,40.5,39.7,41.2,1.5
Central African Republic,197,19.7,20.0,19.7,20.3,0.6
Chad,226,17.8,16.1,15.6,16.5,0.9
Chile,84,34.4,35.5,34.3,36.7,2.4
China,63,37.4,38.4,37.5,39.4,1.9
Colombia,116,30.0,31.2,30.2,32.2,2
Comoros,191,19.9,20.9,20.2,21.5,1.3
Democratic Republic of the Congo,225,18.6,16.7,16.5,16.8,0.3
Republic of the Congo,205,19.7,19.5,19.3,19.7,0.4
Cook Islands,65,36.5,38.3,37.8,38.7,0.9
Costa Rica,110,31.3,32.6,32.1,33.1,1
Cote d'Ivoire,193,20.9,20.3,20.3,20.3,0
Croatia,19,43.0,43.9,42.0,45.9,3.9
Cuba,38,41.5,42.1,40.2,43.8,3.6
Curacao,78,36.1,36.7,34.4,39.5,5.1
Cyprus,66,36.8,37.9,36.7,39.4,2.7
Czech Republic,29,42.1,43.3,42.0,44.7,2.7
Denmark,39,42.2,42.0,40.9,43.1,2.2
Djibouti,165,23.9,24.9,23.0,26.4,3.4
Dominica,88,33.5,34.9,34.4,35.5,1.1
Dominican Republic,146,28.1,27.9,27.8,28.1,0.3
Ecuador,142,27.7,28.8,28.0,29.6,1.6
Egypt,168,23.9,24.1,23.8,24.5,0.7
El Salvador,147,27.1,27.7,26.2,29.3,3.1
Equatorial Guinea,194,19.8,20.3,19.9,20.7,0.8
Eritrea,195,19.7,20.3,19.7,20.8,1.1
Estonia,22,42.7,43.7,40.4,47.0,6.6
Eswatini (Swaziland),176,21.7,23.7,22.5,24.7,2.2
Ethiopia,200,17.9,19.8,19.6,20.1,0.5
European Union,18,42.9,44.0,42.6,45.5,2.9
Faroe Islands,73,37.6,37.2,36.9,37.7,0.8
Fiji,127,28.9,29.9,29.7,30.1,0.4
Finland,32,42.5,42.8,41.3,44.4,3.1
France,44,41.4,41.7,40.0,43.4,3.4
French Polynesia,99,31.9,33.3,33.0,33.5,0.5
Gabon,189,18.6,21.0,21.4,20.6,-0.8
The Gambia,184,21.0,21.8,21.5,22.2,0.7
Palestine (Gaza Strip),216,17.2,18.0,17.7,18.4,0.7
Georgia,61,38.1,38.6,35.9,41.4,5.5
Germany,4,47.1,47.8,46.5,49.1,2.6
Ghana,187,21.1,21.4,21.0,21.9,0.9
Gibraltar,85,34.7,35.5,34.4,36.6,2.2
Greece,9,44.5,45.3,43.7,46.8,3.1
