Rank,Country,Spending  (US$ bn),% of GDP,% of global spending
,World total,"2,113",2.2,100%
01,United States,801.0,3.2,38%
02,China,293.0,1.7,14%
03,India,76.6,2.4,3.6%
04,United Kingdom,68.4,2.1,3.2%
05,Russia,65.9,3.1,3.1%
06,France,56.6,2.0,2.7%
07,Germany,56.0,1.4,2.7%
08,Saudi Arabia,55.6,6.6,2.6%
09,Japan,54.1,1.1,2.6%
10,South Korea,50.2,2.8,2.4%
11,Italy,32.0,1.5,1.5%
12,Australia,31.8,2.0,1.5%
13,Canada,26.4,1.3,1.3%
14,Iran,24.6,2.3,1.2%
15,Israel,24.3,5.2,1.2%
16,Spain,19.5,1.4,0.9%
17,Brazil,19.2,1.2,0.9%
18,Turkey,15.5,2.1,0.7%
19,Netherlands,13.8,1.4,0.7%
20,Poland,13.7,2.1,0.6%
