Country,Minimum wage,Anual Nominal (US$),PPP (Int$),Workweek  (hours),Nominal (US$),PPP (Int$),Percent of  GDP per capita,Effective per
Afghanistan,"Afs. 5,500 (US$67) per month for non-permanent private sector. The minimum wage for permanent government workers was Afs. 6,000 (US$74) per month. There was no minimum wage for permanent workers in the private sector.",858,"3,272",40,0.41,1.57,168.3%,2017
Albania,"32,000 lek (US$267) per month, in private sector and 37,000 lek (US$332) per month in public sector. The law establishes a 40-hour workweek, but the actual workweek is typically set by individual or collective-bargaining agreement.","3,709","6,958",40,1.78,3.35,60.3%,1 January 2022
Algeria,"DA 20,000 (US$156.19) per month, nationally.","1,777","6,247",40,0.85,3,41.6%,1 May 2020
Andorra,.,"14,908","11,020",40,7,5,28%,1 January 2019
Angola,"Kz 32,181 (US$61) per month; paid thirteen times a year.",663,"3,161",44,0.29,1.38,49%,2022
Antigua and Barbuda,EC$8.2 per hour (US$3.03).,"6,317","7,788",40,3.04,3.74,34.4%,1 November 2014
Argentina,"Arg$61,953 per month for up to 200 hours; paid thirteen times a year.","7,466","65,601",48,2.99,26.28,329%,1 December 2022
Armenia,"֏75,000 (US$190) per month.","1,787","4,567",40,0.86,2.2,51.7%,15 November 2022
Australia,"Most workers are covered by an award, which may vary by employee age, geographical location and industry. Workers receive mandatory employer loadings such as penalty rates or leave loading. Minimum wages are set federally by the Fair Work Commission.
For those 21 and older, not covered by an award or other instrument, the minimum wage is $A 812.60 (US$542) per week, or $A 21.38 (US$14.27) per hour. Casual workers are paid a loading of typically 25%, resulting in a minimum of A$26.73 (US$17.41) per hour for those workers.
Workers under 21, apprentices and trainees not covered by an award, have a minimum wages set at a percentage of the ordinary rate. For those under 16, this is 36.8% or A$7.87 (US$5.25) per hour; $A 9.83 (US$6.56) with the casual loading.","31,771","26,410",38,16.08,13.37,57.4%,1 July 2022
Austria,"None; National collective bargaining agreements set minimum wages by job classification for each industry and provide for a minimum wage of €1,200 (US$1419) per month[dubious  – discuss]. Wages where no such collective agreements exist, such as for domestic workers, janitorial staff and au pairs, are regulated by relevant legislation and are generally lower than those covered by collective bargaining. The national minimum wage legislation has lapsed, although is still in force by convention.",,,40,,,,2017
Azerbaijan,₼300 (US$176) per month.,"2,118","10,286",40,1.02,4.95,59.6%,1 January 2022
The Bahamas,"B$5.25 (US$5.25) per hour, B$42 (US$42) per day, and B$210 (US$210) per week.","10,920","9,579",40,5.25,4.61,42.5%,15 August 2015
Bahrain,None; BD 300 (US$800) for the public sector workers (only applies to Bahraini nationals).,,,48,,,,2017
Bangladesh,"Tk. 1,500/- (US$19) per month for all economic sectors not covered by industry-specific wages; in the garment industry the minimum wage raised to Tk. 8,000/- (US$95) per month since 1 December 2018. The minimum wage is set nationally every five years by the National Minimum Wage Board in a tripartite forum industry by industry.",212,564,48,0.08,0.23,15.8%,1 December 2013
Barbados,Bds$6.25 (US$3.13) per hour for household domestics and shop assistants; the Ministry of Labour recommends all other sectors use this as the de facto minimum wage.,"6,500","5,285",40,3.13,2.54,29.3%,1 March 2012
Belarus,Rbls 400 (US$158) per month.,0,1,40,0,0,0%,1 January 2021
Belgium,"€1,691.40 (US$2000) per month.","24,005","23,065",38,12.15,11.67,49.7%,1 January 2022
Belize,BZ$5 (US$2.48) per hour.,"5,850","10,263",45,2.5,4.39,121.3%,22 July 2022
Benin,"F.CFA 40,000 (US$70) per month; the government set minimum wage scales for a number of occupations.",865,"2,149",40,0.42,1.03,99.1%,1 April 2014
Bhutan,"Nu. 3,750 per month.",609,"2,020",40,0.29,0.97,22.7%,1 February 2014
Bolivia,"Bs. 2,122 (US$300) per month. plus an obligatory Christmas bonus equal to one month's pay, prorated for the amount of time the worker has worked in their present position. Plus a second Christmas Bonus if the government decries the economy grew enough, plus an extra month paid in May if the company made a profit for the previous year.","4,071","8,178",48,1.63,3.28,113%,1 May 2021
Bosnia and Herzegovina,KM 543 (US$269) net per month.,"3,949","8,044",40,1.9,3.87,66.1%,2022
Botswana,"P 7.34 (US$0.62) an hour for most full-time labour in the private sector; P 1,786 (US$152) per month.","1,933","4,051",48,0.77,1.62,23.9%,2022
Brazil,"R$1,212 per month (US$225), paid 13 times a year. The Brazilian minimum wage is adjusted annually by the federal government, but each Brazilian state has the option to either follow the national minimum wage or to set its own minimum wage, which cannot be lower than the federal minimum wage. In 2022, five states (RS, SC, PR, SP and RJ) decided to stick with the latter option in order to have higher state minimum wages.","2,923","7,195",44,1.28,3.14,47.6%,1 January 2022
Brunei,None,,,,,,,2017
Bulgaria,"710 lev (€363) per month, 3.86 lev (€1.97) per hour.","4,866","10,705",40,2.34,5.15,55.6%,1 April 2022
Burkina Faso,"F.CFA 34,664 (US$59) per month.",750,"1,905",40,0.36,0.92,107.6%,1 April 2012
Burundi,"None; in the past the government set the minimum wage, but during the year the minimum wage was set by market forces.",,,40,,,,2017
Cambodia,"US$194 per month, for the garment and shoe industry.",,,48,,,,1 January 2022
Cameroon,"F.CFA 36,270 (US$62) per month.",785,"1,819",40,0.38,0.87,50.4%,30 July 2014
Canada,The minimum wage in Canada is set federally and by each province and territory; ranges from Can$13 to Can$16 (US$9.69 to US$11.93) per hour. The minimum wage calculated here is a weighted average based on the relative population in each province.,"24,128","22,176",40,11.6,10.66,49.5%,1 June 2022
Cape Verde,13.000$00 (US$141) per month.,"1,673","3,414",44,0.73,1.49,52.1%,1 January 2018
Central African Republic,"F.CFA 35,000 per month, F.CFA 218.75 per hour.",821,"1,539",40,0.39,0.74,220.3%,2011
Chad,"F.CFA 59,995 (US$110) per month, F.CFA 355 (US$0.60) per hour.","1,298","3,484",39,0.64,1.72,175%,18 October 2011
Chile,"Ch$337,000 (US$440) per month for workers aged 18–65; or Ch$243,561 (US$318) per month for workers younger than 18 and older than 65; and Ch$210,458 (US$260) per month for 'non remunerative' purposes.","5,328","8,886",45,2.28,3.8,38.3%,7 July 2021
China,"The minimum wage in China is set locally; ranges from RMB 1,120 (US$175.76) per month, or RMB 10.6 (US$1.66) per hour in Liaoning; to RMB 2,420 (US$379.77) per month, or RMB 21 (US$3.30) per hour in Shanghai.","2,084","3,491",40,1,1.68,22.5%,31 July 2018
Colombia,"Col$1,000,000 + Col$117,172 by transportation subsidy (US$276) per month","3,879","10,589",48,1.55,4.24,74.8%,1 January 2022
Comoros,"FC 55,000 (US$129) per month.","1,587","3,037",40,0.76,1.46,199.5%,2017
Democratic Republic of the Congo,"FC 1,680 (US$1.83) per day.",220,741,45,0.09,0.32,92.4%,1 January 2009
Republic of the Congo,"F.CFA 90,000 (US$170) per month in the formal sector.","1,948","3,663",40,0.94,1.76,64.1%,2017
Costa Rica,"Varies for specified industries from ₡10,060.75 (US$16.73) per 8-hour work day for all workers to ₡13,141.39 (US$23) per day for specialized workers. All other occupations not explicitly covered fall under the generic scale, which varies from ₡300,255.79 (US$528) per month for unskilled workers to ₡644,689.3 (US$1,134) per month for licentiates.","6,145","10,221",48,2.46,4.1,61.5%,1 January 2021
Côte d'Ivoire,"Varies by occupation, with the lowest set to F.CFA 36,607 (US$72) per month for the industrial sector; a slightly higher minimum wage rate is applied for construction workers.",792,"1,868",40,0.38,0.9,50.6%,1994
Croatia,"The minimum wage in Croatia is kn 3,750 (US$590) per month.","7,075","11,250",40,3.4,5.41,48%,1 January 2019
Cuba,"Cu$2,100 (US$80) per month. Each citizen is however also given free food to supplement the salary.",44,669,48,0.44,0.74,0.4%,2021
Cyprus,"None; €870 (US$1,006) per month for shop assistants, nurses' assistants, clerks, hairdressers, and nursery assistants; it rises to €924 (US$1,069) after six months' employment. For asylum seekers working as unskilled workers in the agricultural sector, the minimum monthly wage was €425 (US$570) with accommodation and food provided. For skilled workers in the agricultural sector, the minimum salary was €767 (US$1,040) without accommodation and food.",,,48,,,,2017
Czech Republic,"Kč 16,200 per month, (US$686) or Kč 90.5 (US$3.84) per hour.","8,683","13,182",40,4.17,6.34,37.9%,1 January 2022
Denmark,"None; instead, negotiated between unions and employer associations; the average minimum wage for all private and public sector collective bargaining agreements was approximately DKr 110 (nominally US$16) per hour, exclusive of pension benefits.",,,37.5,,,,2017
Djibouti,"None; cancelled by the 2006 Labor Code for occupational categories, establishing that wages be set after common agreement between employers and employees. For public sector workers, minimum wage was Fdj 35,000 (US$198) per month.",,,48,,,,2017
Dominica,EC$4 (US$1.50) per hour.,"3,081","4,223",40,1.48,2.03,38.6%,1 June 2008
Dominican Republic,"RD$8,310 (US$166) per month in the FTZs and between RD$9,412 (US$188) and RD$15,448 (US$309) outside the FTZs, depending upon the size of the company; RD$5,884 (US$117) per month for the public sector; RD$320 (US$6) a day for farm workers who are covered by minimum wage regulations based on a 10-hour day, with the exception of sugarcane workers who received RD$146 based on an eight-hour workday.","2,613","6,704",44,1.14,2.93,44.1%,2021
Ecuador,"US$460 per month (for month average, including proportional 13th and 14th salaries and minimal 15 days vacation period). The minimum wage has been set by the government at $425, per month without social benefits for the year 2022, but a worker also receives mandatory 13rd and a 14th salary.","5,525","9,057",40,2.66,4.35,80.6%,1 January 2022
Egypt,"None; for the public sector the minimum wage is LE 3,000 (US$152) per month.",,,42,,,,2022
El Salvador,The minimum wage was set by the government at US$304.17 monthly in 2018.,"3,650","7,019",44,1.6,3.07,81.5%,1 January 2018
Equatorial Guinea,"F.CFA 129,035 (US$224) per month.","2,792","4,479",48,1.12,1.79,17.2%,2017
Eritrea,None; Nkf 360 (US$23.3) per month in the public sector.,,,44.5,,,,2017
Estonia,"€584 (US$691) per month, or €3.48 (US$4.12) per hour.","7,897","10,946",40,3.8,5.26,36.8%,1 January 2020
Eswatini,E 531.6 (US$76.50) per month for a domestic worker; E 420 (US$60.50) a month for an unskilled worker; E 600 (US$86.50) a month for a skilled worker.,694,"1,128",48,0.33,0.54,19%,2011
Ethiopia,"None; some government institutions and public enterprises set their own minimum wages: public sector employees, the largest group of wage earners, earned a monthly minimum wage of Br 420 (US$21); employees in the banking and insurance sector had a minimum monthly wage of Br 336 (US$18).",,,48,,,,2017
Federated States of Micronesia,"None; US$2.65 per hour for employment with the national government; all states have a minimum hourly wage for government workers: US$2.00 in Pohnpei, US$1.25 in Chuuk, US$1.42 in Kosrae, and US$1.60 in Yap; US$1.75 for private sector workers in Pohnpei.",,,40,,,,2015
Fiji,FJ$2.68 per hour.,"3,232","5,226",48,1.29,2.09,57.4%,30 September 2017
Finland,"None; however, the law requires all employers, including non-unionized ones, to pay minimum wages agreed to in collective bargaining agreements; almost all workers are covered under such arrangements.",,,40,,,,2017
France,"€1,603.12 (US$1896) gross per month, €10.57 (US$12.5) per hour.","22,752","22,112",35,12.5,12.15,53.5%,1 January 2022
Gabon,"F.CFA 150,000 (US$255) per month; government workers received an additional monthly allowance of F.CFA 20,000 (US$34) per child; government workers also received transportation, housing, and family benefits; the law does not mandate housing or family benefits for private sector workers.","3,246","4,865",40,1.56,2.34,26.9%,1 February 2010
The Gambia,D 50 (US$1.25) per day.,253,958,48,0.1,0.38,57.1%,2017
Georgia,₾20 (US$8) per month for private sector workers which has remained unchanged since the early 1990s but is not applied in practice; ₾115 (US$48) per month for public employees.,93,353,40,0.04,0.17,3.5%,2017
Germany,,"25,707","26,188",40,12.36,12.59,53.6%,1 July 2022
Ghana,₵9.68 (US$1.7) per day.,433,"1,760",40,0.21,0.85,41%,1 January 2018
Greece,"€758 (US$853) per month in 12 payments, €650 (US$732) per month in 14 payments, or €5.71 (US$6.51) per hour.","10,758","13,376",40,5.17,6.43,50%,1 February 2019
Grenada,"Minimum wage schedules set pay by occupation; for example, the minimum wage for domestic workers, for example, was EC$4.5 per hour, while that for a security guard was EC$8 per hour.",,,40,,,,2017
Guatemala,"Q 81.87 (US$10.9) per day for agricultural and nonagricultural work and Q 74.89 (US$10) per day for work in export-sector regime factories. Minimum wage earners also are due a mandatory monthly bonus of Q 250 (US$33), and salaried workers receive two mandatory yearly bonuses (the bono 14 and the Christmas bonus), each equivalent to one month's salary.","3,924","6,974",48,1.57,2.79,87.8%,1 January 2016
Guernsey,£8.70 stg per hour (US$11.60) for those aged 18+  £8.25 per hour (US$11.00) for those aged 17–18.,,,,,,,1 January 2021
Guinea,"The labor code allows the government to set a minimum hourly wage; however, the government has not exercised this provision except for setting the minimum wage for domestic workers at FG 440,000 (US$62) per month.",,,48,,,,2017
Guinea-Bissau,"F.CFA 19,030 (US$30) per month plus a bag of rice",412,935,45,0.18,0.4,58.1%,2017
Guyana,"G$35,000 (US$168) per month, or G$1,616 (US$7) per day, or G$202 (US$1) per hour.","2,015","3,204",40,0.97,1.54,40.9%,1 July 2013
Haiti,G 290 per day for servants for an eight-hour workday; G 400 per day for segment A industries; G 350 per day for segment B industries; G 290 per day for segment C industries; G 350 per day for companies with piece work that re-export; and G 350 per day for companies with piece work that exports.,"1,014","3,194",48,0.41,1.28,179.1%,1 August 2017
Honduras,"Minimum wages ranged from a low of L 6,096.71 per month, L 25.41 per hour to L 10,698.3 per month, L 44.58 per hour.","2,420","4,948",44,1.06,2.16,104.5%,1 January 2018
Hong Kong,HK$37.5 (US$4.8) per hour is the minimum wage in Hong Kong.,"10,039","12,093",40,4.83,5.81,20.6%,1 May 2019
Hungary,"Ft 161,000 (US$531) per month for unskilled labor, Ft 210,600 (US$695) per month for skilled labor.","6,373","12,933",40,3.06,6.22,48.4%,1 January 2020
Iceland,"None; minimum wages are negotiated in various collectively bargained agreements and applied automatically to all employees in those occupations, regardless of union membership; while the agreements can be either industry- or sector-wide, and in some cases firm-specific, the minimum wage levels are occupation-specific.",,,40,,,,2017
India,"Though stipulated by law, it varies from ₹160/- (US$2.16) per day in Bihar, ₹348/day (US$4.7) in Mumbai (2017) ₹750/- (US$10) per day in Kerala. State governments set a separate minimum wage for agricultural workers. The minimum wages are set according to Minimum Wages Act, 1948.",674,"2,498",48,0.27,1,38%,2015
Indonesia,"Established by provincial and district authorities, which vary by province, district, and sector; the lowest minimum wage is in the province of Yogyakarta at Rp 1,704,608 (US$121) per month and the highest is in Jakarta at Rp 4,276,349 (US$303) per month.","2,449","7,028",40,1.18,3.38,60.5%,1 February 2020
Iran,"2,655,495 tomans (equal to Rls 26,554,950), and to (US$106) per month effective on the 2021 Persian New year; set annually for each industrial sector and region. The standard workweek is 44 hours, and any work over 48 entitles the worker to overtime.","7,587","8,812",44,3.32,3.85,47.6%,21 March 2021
Iraq,"ID 250,000 (US$214) per month.","2,069","5,222",40,0.99,2.51,30.1%,2014
Ireland,"€10.50 (US$11.8) per hour, with sub-minimal rates for those under 18 (70% of minimum), and for those over 18 in first year of employment (80%), in second year of employment (90%).

Eurostat calculates the monthly rate for Ireland as (hourly rate x 39 hours x 52 weeks) / 12 months","25,184","21,294",39,12.42,10.5,29.8%,1 January 2022
Isle of Man,£8.25 stg per hour (US$10.18) for those aged 18+  £6.15 per hour (US$7.59) for those aged under 18  £7.30 per hour (US$9.01) for development worker.,,,,,,,1 October 2019
Israel,"₪5,300 ILS (US$1641) per month; or ₪29.12 ILS (US$9.02) per hour.","19,690","14,389",42,9.02,6.59,38.6%,1 April 2018
Italy,None; instead set generally through collective bargaining agreements on a sector-by-sector basis.,,,40,,,,2019
Jamaica,"J$7,000 (US$46) per week.","2,402","4,564",40,1.15,2.19,51.7%,1 August 2018
Japan,"Ranges from ¥853–¥1,072 (US$7.77–US$9.77) per hour; varies on a prefectural and industry basis.","16,166","16,558",40,7.77,7.96,39.2%,20 October 2022
Jersey,£8.32 stg per hour (US$10.27) for those aged 18+  £7.28 stg per hour (US$8.99) for trainees year 2.£6.02& stg per hour (US$7.43) for trainees year 1.,,,,,,,1 April 2020
Jordan,JD 260 (US$366.72) per month.,"5,408","11,636",48,2.17,4.66,128.6%,25 January 2022
Kazakhstan,"₸28,284 (US$78) per month is the minimum wage in Kazakhstan.",797,"2,987",40,0.38,1.44,11.8%,1 January 2018
Kenya,"Set by the government by location, age and skill level; the lowest agricultural minimum wage for unskilled employees was KSh. 6,415.55/ (US$52.45) = per month, KSh. 269/40 (US$2.20) per day, excluding housing allowance.",702,"1,656",52,0.26,0.61,52.5%,1 May 2017
Kiribati,"$A 1.30 per hour for local businesses and companies, while the minimum wage for overseas-funded projects is $A 3.00 an hour","2,033","2,731",40,0.98,1.31,129.5%,1 November 2016
North Korea,"Averaging ₩5,000 – 10,000 (US$5.5 – US$11.1) per day.",,,,,,,2014
South Korea,"₩9,160 (US$6.84) per hour is the nominal minimum wage in South Korea, although the real effective comparable minimum wage is higher at ₩10,992 (US$8.20) per hour due to a mandatory weekly paid holiday for people that work more than 15 hours per week, a law that is absent in other developed countries. The minimum wage law applies equally to foreign, temporary or young workers covering all industries and regions nationwide.","19,986","22,778",40,9.61,10.95,62.3%,1 January 2022
Kosovo,€170 (US$224) per month for workers between 35 and 65 years of age; €130 (US$150) for workers under 35 years of age.,"2,413","5,667",40,1.16,2.72,56.3%,17 August 2011
Kuwait,KD 60 (US$216) per month.,"2,400","3,600",48,0.96,1.44,4.8%,14 April 2010
Kyrgyzstan,"1,140 som (US$14) per month, nominally; used for administrative purpose.",162,661,40,0.08,0.32,18.6%,1 January 2017
Laos,"₭800,000 (US$100) per month; additionally, employers were required to pay a ₭30,000 (US$3.74) meal allowance per day. The minimum wage for civil servants and state enterprise employees was last increased to ₭1,400,000 (US$170) per month.","1,732","5,180",48,0.69,2.08,79.1%,2014
Latvia,€500 (US$591) per month.,"7,096","10,526",40,3.41,5.06,41.1%,1 January 2021
Lebanon,"LL 675,000 (US$446) per month (US$22.5 using the parallel market rate as of 5 January 2022), or LL 30,000 (US$1) per day.","5,373","8,947",48,2.15,3.58,62.5%,1 February 2012
Lesotho,"M 1,178 (US$102) per month to M 1,285 (US$112) per month; varied by sector.",956,"3,027",45,0.41,1.29,102.6%,2014
Liberia,"L$15 (US$0.31) per hour not exceeding 8 hours per day, excluding benefits, for unskilled laborers; L$5,600 (US$114) per month for civil servants.",4,10,48,0,0,1.2%,2014
Libya,LD 450 (US$325) per month; the government heavily subsidizes rent and utilities.,"1,169","9,643",40,0.56,4.64,166.2%,1 March 2011
Liechtenstein,None,,,48,,,,2014
Lithuania,"€840 (US$993) per month, €4.85 (US$5.74) per hour for unskilled labor.","10,996","18,231",40,5.29,8.76,61%,1 January 2023
Luxembourg,"€2,262.00 (US$2675) per month, €13.05 (US$15.43) per hour for unskilled workers over 18; increased by 20% for a skilled employee; decreased by 20% to 25% in the case of an adolescent worker.","32,103","26,875",40,15.43,12.92,26.2%,1 October 2021
Macau,"MOP 6,656 (US$833) per month.","9,972","13,584",40,4.79,6.53,11.7%,1 November 2020
Madagascar,"Ar 133,013.4 (US$30.82) per month, Ar 767.4. per hour for non-agricultural workers; Ar 134,920 (US$31.26) per month, 674.60 Ar. per hour for agricultural workers.",376,"1,601",41,0.18,0.75,106.3%,1 January 2015
Malawi,MK 687.7 per day.,266,"1,035",48,0.11,0.41,88.6%,1 January 2016
Malaysia,"RM 1,200 (US$283) per month, or RM 4.81 (US$1.1) per hour on the peninsula; and RM 920 (US$224) per month, or RM 4.42 (US$1.0) per hour for the states of Sabah, Sarawak, and Labuan. To be fully enforced on 1 July 2016.","2,665","6,646",48,1.07,2.66,24%,1 January 2019
Maldives,"None; Rf. 3,100/-  (US$242) per month in the government sector.",,,48,,,,2014
Mali,"F.CFA 28,465 (US$57), supplemented by a required package of benefits, including social security and health care.",616,"1,560",48,0.25,0.62,73.4%,2014
Malta,€792.3 (US$767) per month.,"11,245","14,406",40,5.41,6.93,38%,1 January 2022
Marshall Islands,US$2 per hour for government and private sector employees.,"4,160","3,852",40,2,1.85,95.7%,6 March 1986
Mauritania,"UM 3,000 (US$83.8 in 2017 terms) per month for adults.",982,295,40,0.47,0.14,7.7%,2011
Mauritius,"MRs. 2,035/- (US$56.77)  per week for an unskilled worker in the Export Processing Zone(EPZ); MRs. 2,035/- per week for an unskilled factory worker outside the EPZ plus a ""salary compensation"" of MRs. 90/- per week; set by the government by sector, and increased each year based on the inflation rate. Both categories of workers also benefit from a ""special allowance"" from the revenue agency which means that all full-time workers in Mauritius earn a minimum wage of MRs. 2,250/- (US$62.76) per week or MRs. 9,000/- (US$251.05) per month","2,538","5,438",45,1.08,2.32,25.8%,2019
Mexico,Mex$172.87 (US$8.53) per day; Mex$260.34 (US$12.84) per day on the Free Zone of the Northern Border. Day off is paid according to Mexican labor legislation so the total amount of paid hours is 56 (Art. 69)  but the working hours are 48.,"3,104","6,224",48,1.24,2.49,36%,2022
Moldova,"2,775 lei (US$144) per month in the private sector.","1,883","4,854",40,0.91,2.33,91%,1 May 2019
Monaco,"€1,779.82 (US$2105) per month, or €10.53 (US$12.45) per hour; same as the French minimum wage, plus a 5% adjustment.","24,092",,39,11.88,,17%,1 January 2019
Mongolia,"₮420,000 (US$130) per month.","1,769","6,068",40,0.85,2.92,49.5%,1 January 2020
Montenegro,€450 (US$511) netto per month.,"6,387","12,558",40,3.07,6.04,71.2%,1 January 2022
Morocco,"DH 3,000 (US$310) per month in public sector, DH 2,570.86 (US$265) per month in private sector, 69,73 Dh, (US$7) per day for agricultural workers.","3,997","8,556",44,1.75,3.74,108.9%,1 July 2015
Mozambique,"Set for nine different economic sectors; ranges from Mt 3,002 (US$51) per month in the public sector, to Mt 7,465 (US$129) per month in the financial sector.",550,"1,818",40,0.26,0.87,149.4%,1 May 2014
Myanmar,"Ks 3,600/- per day, Ks 450/- per hour.",691,"3,011",44,0.3,1.32,52.6%,1 September 2015
Namibia,"None; the mining, construction, security and agricultural sectors set basic levels of pay through collective bargaining.",,,45,,,,2014
Nauru,"None; there is a graduated salary system for public service officers and employees, none for private-sector workers.",,,40,,,,2014
Nepal,"NRs. 15,000/- (US$126.98) per month","1,524","4,913",48,0.61,1.97,198.3%,July 2021
Netherlands,"€1,756.20 (US$2077) per month, €405.30 per week, €81.06 per day, and €10.13 (US$11.98) per hour for persons 21 and older (in a 40-hours work week, €10.67 per hour in a 38-hours workweek and €11.26 per hour in a 36-hours workweek) ; between 30–80% (as low as €3.38 per hour) of this amount for persons aged 15–20.","24,925","23,679",40,11.98,11.38,46.9%,1 July 2022
New Zealand,"$NZ 21.20 (US$13.04) per hour for workers 18 years old or older, and $NZ 16.96 (US$10.43) per hour for those aged 16 or 17 or in training; there is no statutory minimum wage for employees who are aged 15 years or under.","31,274","26,888",40,15.04,12.93,69.7%,1 April 2022
Nicaragua,"Set for nine different economic sectors; ranges from C$4,414 per month in the agricultural sector to C$7,133.44 per month in the financial sector.","1,506","4,704",48,0.6,1.88,84.9%,1 March 2021
Niger,"F.CFA 30,047 (US$60) per month.",650,"1,633",40,0.31,0.78,165.5%,17 August 2012
Nigeria,"₦30,000 per month (following the recent devaluation of the naira has fallen to US$76.92, or US$66.6 using the parallel market rate).",901,"2,911",40,0.43,1.4,49.7%,18 November 2019
North Macedonia,"DEN 22,146, (US$406) gross per month.","2,418","5,488",40,1.16,2.64,36.7%,1 April 2021
Northern Cyprus,"₺7,000 (US$537) per month (gross minimum wage).",,,40,,,,1 January 2022
Norway,"None; wages normally fall within a national scale negotiated by labor, employers, and local governments.",,,37.5,,,,2014
Oman,RO 225 (US$592) per month plus allowances of RO 100 (US$263) per month for citizens; does not apply to foreign workers.,"10,263","19,500",45,4.39,8.33,42.5%,1 July 2013
Pakistan,"PRs. 17,500/- (US$107) per month.","1,289","6,546",48,0.52,2.62,125%,1 June 2016
Palau,US$3.00 per hour; does not include foreign workers.,"6,240","6,638",40,3,3.19,40.7%,1 October 2014
Palestine,"₪1,450 ILS (US$449) per month;","5,387",,45,2.3,,,2014
Panama,"B/.1.53 to B/.4.45 (US$1.53 – US$4.45) per hour, depending on region and sector. Food and the use of housing facilities were considered part of the salary for some workers, such as domestic and agricultural workers. Salaries for domestic workers ranged from B/.250 to B/.275 (US$250-US$275) per month. The agricultural and construction sectors received the lowest and highest minimum wages, respectively.","3,819","6,473",48,1.53,2.59,28.1%,1 January 2018
Papua New Guinea,K 3.2 (US$1) per hour.,"2,086","2,795",44,0.91,1.22,66.8%,1 August 2014
Paraguay,"₲2,289,324 (US$319) per month; The law discriminates against domestic workers, who are legally entitled to only 40 percent of the minimum wage. The law mandates that housing and food be counted towards domestic worker's salary.","4,055","10,575",48,1.62,4.24,110.5%,1 July 2021
Peru,S/.930 (US$244) per month.,"2,876","6,414",48,1.15,2.57,49.3%,1 June 2018
Philippines,Ranges from ₱243 (US$4.60) daily non-agricultural wage in Ilocos to ₱537 (US$10.16) daily non-agricultural wage in Metro Manila.,"2,835","6,912",40,1.36,3.32,88.6%,16 March 2019
Poland,"zł 3,010 (US$780) per month, or zł 19.7 (US$5.1) per hour is the minimum wage in Poland.","9,358","19,213",40,4.5,9.24,70.2%,1 January 2022
Portugal,"€741 per month (US$828) in 12 payments; €635 per month (US$710) in 14 payments for full-time workers, rural workers, and domestic employees ages 18 and older.","9,935","12,353",40,4.78,5.94,40.3%,1 January 2020
Qatar,"QR 1,500-1,800 a month in total. QR 1,000 (US$274) base pay per month plus the provision of QR 500 a month (US$137) for accommodation. Add QR 300 a month (US$82.2) for food if those expenses are not provided as part of the contract).",,,48,,,,2021
Romania,"2,300 lei (US$480) per month; else 14.044 lei (US$2.93) per hour for a full-time schedule of 167 hours per month is the minimum wage in Romania.","6,635","14,603",40,3.19,7.02,63.4%,1 January 2021
