Country or area,Subregion,Region,Internet users,Pct,Population(2021),Sources,Year
China,Eastern Asia,Asia,"1,032,000,000",72.4,"1,425,893,465",,2021
India,Southern Asia,Asia,"836,860,000",59.5,"1,407,563,842",,2022
United States,Northern America,Americas,"307,200,000",91.2,"336,997,624",,2022
Indonesia,South-eastern Asia,Asia,"196,000,000",71.6,"273,753,191",,2020
Brazil,South America,Americas,"165,300,000",77.1,"214,326,223",,2022
Nigeria,Western Africa,Africa,"136,203,231",63.8,"213,401,323",,2020
Pakistan,Southern Asia,Asia,"130,000,000",60.8,"213,756,286",,2022
Russia,Eastern Europe,Europe,"129,800,000",89.5,"145,102,755",,2022
Bangladesh,Southern Asia,Asia,"126,210,000",75.9,"166,303,498",,2022
Japan,Eastern Asia,Asia,"117,400,000",94.2,"124,612,530",[failed verification],2021
Mexico,Northern America,Americas,"92,010,000",71.3,"128,972,439",[failed verification],2021
Iran,Western Asia,Asia,"78,086,663",88.8,"87,923,432",,2020
Germany,Western Europe,Europe,"77,794,405",93.3,"83,408,554",[failed verification],2021
Philippines,South-eastern Asia,Asia,"73,003,313",64.1,"113,880,328",[failed verification],2021
Turkey,Southern Europe,Europe,"69,945,905",82.5,"84,775,404",,2022
Vietnam,South-eastern Asia,Asia,"68,172,134",69.9,"97,468,029",[failed verification],2021
United Kingdom,Northern Europe,Europe,"65,001,016",96.6,"67,281,039",[failed verification],2021
France,Western Europe,Europe,"59,470,000",92.2,"64,531,444",,2021
Egypt,Northern Africa,Africa,"54,740,141",50.1,"109,262,178",[failed verification],2021
South Korea,Eastern Asia,Asia,"49,421,084",95.4,"51,830,139",[failed verification],2021
Spain,Southern Europe,Europe,"42,400,756",89.3,"47,486,935",[failed verification],2021
Thailand,South-eastern Asia,Asia,"54,043,108",75.5,"71,601,103",,2020
Italy,Southern Europe,Europe,"50,540,000",85.3,"59,240,329",[failed verification],2021
Poland,Eastern Europe,Europe,"34,697,848",90.6,"38,307,726",,2020
Canada,Northern America,Americas,"33,950,632",89.0,"38,155,012",[failed verification],2021
Argentina,South America,Americas,"33,561,876",74.1,"45,276,780",[failed verification],2021
South Africa,Southern Africa,Africa,"31,858,027",53.6,"59,392,255",[failed verification],2021
Colombia,South America,Americas,"30,548,252",59.3,"51,516,562",[failed verification],2021
Saudi Arabia,Western Asia,Asia,"27,048,861",75.2,"35,950,396",[failed verification],2021
Malaysia,South-eastern Asia,Asia,"25,343,685",75.5,"33,573,874",[failed verification],2021
Ukraine,Eastern Europe,Europe,"31,100,000",71.4,"43,531,422",[failed verification],2022
Algeria,Northern Africa,Africa,"26,350,000",59.6,"44,177,969",[failed verification],2021
Morocco,Northern Africa,Africa,"22,072,765",59.5,"37,076,584",[failed verification],2021
Taiwan,Eastern Asia,Asia,"21,920,626",91.9,"23,859,912",[failed verification],2021
Australia,"Australia, New Zealand",Oceania,"21,159,515",81.6,"25,921,089",[failed verification],2021
Venezuela,South America,Americas,"20,564,451",72.9,"28,199,867",[failed verification],2021
Ethiopia,Eastern Africa,Africa,"19,543,075",16.2,"120,283,026",[failed verification],2021
Iraq,Western Asia,Asia,"18,892,351",43.4,"43,533,592",[failed verification],2021
Uzbekistan,Central Asia,Asia,"16,692,456",49.0,"34,081,449",[failed verification],2021
Myanmar,South-eastern Asia,Asia,"16,374,103",30.4,"53,798,084",[failed verification],2021
Netherlands,Western Europe,Europe,"15,877,494",90.7,"17,501,696",[failed verification],2021
Peru,South America,Americas,"15,674,241",46.5,"33,715,471",[failed verification],2021
Chile,South America,Americas,"14,864,456",76.3,"19,493,184",[failed verification],2021
Kazakhstan,Central Asia,Asia,"13,913,699",72.5,"19,196,465",[failed verification],2021
Romania,Eastern Europe,Europe,"12,545,558",64.9,"19,328,560",[failed verification],2021
Sudan,Northern Africa,Africa,"12,512,639",27.4,"45,657,202",[failed verification],2021
Ghana,Western Africa,Africa,"15,065,541",45.9,"32,833,031",[failed verification],2021
Côte d'Ivoire,Western Africa,Africa,"10,650,818",38.8,"27,478,249",[failed verification],2021
Uganda,Eastern Africa,Africa,"10,162,807",22.2,"45,853,778",[failed verification],2021
Belgium,Western Europe,Europe,"10,021,242",86.3,"11,611,419",[failed verification],2021
Sweden,Northern Europe,Europe,"9,554,907",91.3,"10,467,097",[failed verification],2021
Ecuador,South America,Americas,"9,521,056",53.5,"17,797,737",[failed verification],2021
Tanzania,Eastern Africa,Africa,"30,000,000",47.2,"63,588,334",[failed verification],2021
United Arab Emirates,Western Asia,Asia,"8,913,217",95.2,"9,365,145",[failed verification],2021
Kenya,Eastern Africa,Africa,"8,861,485",16.7,"53,005,614",[failed verification],2021
Czech Republic,Eastern Europe,Europe,"8,358,728",79.5,"10,510,751",[failed verification],2021
