Rank,Country,Number of scientific publications (2020),Scientific publications per capita (in ppm)
1,China,744042,527
2,United States,624554,1875
3,United Kingdom,198500,2959
4,India,191590,138
5,Germany,174524,2097
6,Italy,127502,2159
7,Japan,127408,1016
8,Canada,121111,3184
9,Russia,119195,819
10,France,112838,1664
11,Australia,106614,4109
12,Spain,104353,2202
13,South Korea,91030,1762
14,Brazil,89241,416
15,Iran,71894,863
16,Netherlands,62512,3534
17,Turkey,53802,635
18,Poland,51994,1364
19,Indonesia,49160,181
20,Switzerland,47607,5461
21,Sweden,43270,4141
22,Taiwan,39201,1677
23,Malaysia,37099,1135
24,Saudi Arabia,36301,1037
25,Belgium,34575,2976
26,Egypt,34575,298
27,Denmark,29982,5110
28,Portugal,29189,2821
29,Mexico,29089,231
30,Pakistan,28525,127
31,South Africa,28365,472
32,Austria,27324,3044
33,Norway,25204,4654
34,Czech Republic,24811,2358
35,Hong Kong,24203,3273
36,Singapore,23078,4232
37,Israel,22743,2402
38,Finland,21789,3948
39,Thailand,20830,312
40,Greece,20123,1884
41,Iraq,18711,454
42,Ukraine,17888,434
43,Vietnam,17485,177
44,Chile,17137,871
45,New Zealand,16886,3286
46,Ireland,16581,3309
47,Argentina,15605,341
48,Romania,15537,810
49,Colombia,15103,296
50,Nigeria,13282,63
51,Hungary,12168,1250
52,United Arab Emirates,10079,1061
53,Morocco,9463,259
54,Slovakia,8709,1597
55,Tunisia,8338,710
56,Bangladesh,8265,48
57,Algeria,7968,176
58,Serbia,7960,1158
59,Croatia,7814,2010
60,Slovenia,6808,3228
61,Jordan,6540,587
62,Bulgaria,6233,956
63,Ethiopia,6141,52
64,Philippines,5636,51
65,Ecuador,5519,308
66,Peru,5425,164
67,Kazakhstan,5339,279
68,Qatar,5081,1815
69,Lithuania,4658,1667
70,Lebanon,4249,628
71,Ghana,4189,136
72,Kenya,4110,86
73,Estonia,3810,2865
74,Cyprus,3629,4087
75,Uzbekistan,3491,99
76,Sri Lanka,2844,128
77,Nepal,2555,84
78,Macau,2549,3736
79,Belarus,2547,272
80,Oman,2543,562
81,Latvia,2530,1349
82,Kuwait,2345,502
