Country or subnational area,"Expenditure on education(% of GDP)",Year,Source
Marshall Islands,15.8,2019,
Cuba,12.9,2012,
Micronesia,12.5,2015,
Kiribati,12.0,2001,
Somaliland,9.6,2021,
Djibouti,8.4,2012,
Namibia,8.4,2012,
Norway,8.0,2016,
Botswana,7.8,2012,
Sweden,7.7,2016,
Denmark,7.6,2014,
Palau,7.6,2002,
Iceland,7.5,2016,
Costa Rica,7.4,2016,
Belize,7.4,2017,
Bolivia,7.3,2014,
Solomon Islands,7.3,2012,
Swaziland,7.1,2014,
Finland,6.9,2016,
Oman,6.8,2017,
Moldova,6.7,2017,
Bhutan,6.6,2018,
Tunisia,6.6,2015,
Belgium,6.5,2016,
Lesotho,6.5,2018,
Mozambique,6.5,2014,
New Zealand,6.4,2016,
Cyprus,6.4,2015,
Guyana,6.3,2017,
Uzbekistan,6.3,2017,
Brazil,6.2,2015,
South Africa,6.2,2018,
Zimbabwe,6.1,2014,
Kyrgyzstan,6.1,2017,
Puerto Rico,6.1,2014,
Honduras,6.0,2017,
Israel,5.8,2016,
Saint Vincent and the Grenadines,5.8,2017,
Saudi Arabia,5.6,2012,
Czech Republic,5.6,2016,
Argentina,5.5,2017,
Austria,5.5,2016,
Canada,5.5,2012,
Netherlands,5.5,2016,
Jamaica,5.4,2018,
France,5.4,2016,
Chile,5.4,2017,
Ukraine,5.4,2017,
Morocco,5.4,2012,
Malta,5.3,2015,
Australia,5.3,2016,
State of Palestine,5.3,2017,
Kenya,5.2,2017,
Tajikistan,5.2,2015,
Estonia,5.2,2016,
Yemen,5.2,2012,
Cape Verde,5.2,2017,
Nepal,5.2,2018,
Côte d'Ivoire,5.1,2017,
Syria,5.1,2012,
South Korea,5.1,2014,
Switzerland,5.1,2016,
Ecuador,5.0,2015,
Togo,5.0,2016,
United States,5.0,2014,
Nauru,4.9,2007,
Mexico,4.9,2016,
Portugal,4.9,2015,
Uruguay,4.9,2017,
Sao Tome and Principe,4.9,2017,
Mauritius,4.8,2018,
Belarus,4.8,2017,[citation needed]
Senegal,4.8,2017,
Germany,4.8,2016,
Slovenia,4.8,2016,
Burundi,4.8,2017,
Malaysia,4.7,2017,
Ethiopia,4.7,2015,
Latvia,4.7,2016,
Hungary,4.7,2016,
Vanuatu,4.7,2017,
Barbados,4.7,2017,
Poland,4.6,2016,
Sierra Leone,4.6,2017,
Congo,4.6,2015,
Croatia,4.6,2013,
Colombia,4.5,2017,
Brunei,4.4,2016,
Turkey,4.4,2014,
Seychelles,4.4,2016,
Vietnam,4.3,2016,
Algeria,4.3,2012,
Dominican Republic,4.3,2014,
Nicaragua,4.3,2017,
Burkina Faso,4.2,2016,
Spain,4.2,2016,
Thailand,4.1,2013,
Mongolia,4.1,2017,
Samoa,4.1,2016,
Maldives,4.1,2016,
Afghanistan,4.1,2017,
Bulgaria,4.1,2012,
Greece,4.1,2012,
Panama,4.1,2012,
Malawi,4.0,2017,
Lithuania,4.0,2016,
Benin,4.0,2016,
Luxembourg,4.0,2014,
Serbia,4.0,2017,
China,4.0,2016,
Iran,4.0,2018,
Albania,4.0,2016,
Peru,3.9,2017,
United Kingdom,3.9,2019,
Tonga,3.9,2004,
Slovakia,3.9,2016,
Fiji,3.9,2013,
Georgia,3.8,2017,
Timor-Leste,3.8,2017,
Saint Lucia,3.8,2018,
Italy,3.8,2016,
Egypt,3.8,2012,
Kuwait,3.8,2012,
El Salvador,3.8,2017,
Russia,3.7,2016,
Tuvalu,3.7,1997,
Ireland,3.7,2017,
Jordan,3.6,2017,
Japan,3.6,2014,
Ghana,3.6,2017,
Indonesia,3.6,2015,
Venezuela,3.6,2012,
Niger,3.5,2017,
Angola,3.5,2012,
Iraq,3.5,1989,
Tanzania,3.4,2014,
Dominica,3.4,2015,
Paraguay,3.4,2016,
North Macedonia,3.3,2002,
Hong Kong,3.3,2018,
San Marino,3.2,2017,
Andorra,3.2,2012,
Grenada,3.2,2017,
India,3.1,2019,
Trinidad and Tobago,3.1,2003,
Cameroon,3.1,2017,
Mali,3.1,2016,
Romania,3.1,2017,
Rwanda,3.1,2018,
Turkmenistan,3.0,2012,
Singapore,2.9,2013,
Qatar,2.9,2017,
Chad,2.9,2013,
Laos,2.9,2014,
Pakistan,2.9,2017,
Bahamas,2.8,2000,
Kazakhstan,2.8,2017,
Sri Lanka,2.8,2017,
Guatemala,2.8,2017,
Madagascar,2.8,2014,
Gabon,2.7,2014,
Philippines,3.2,2019,
Macau,2.7,2017,
Saint Kitts and Nevis,2.6,2015,
Uganda,2.6,2017,
Mauritania,2.6,2016,
Antigua and Barbuda,2.5,2012,
Comoros,2.5,2015,
Haiti,2.5,2016,
Azerbaijan,2.5,2017,
Lebanon,2.5,2013,
Armenia,2.3,2020,
Libya,2.3,1999,
Liberia,2.3,2014,
Bahrain,2.3,2017,
Sudan,2.2,2009,
Guinea,2.2,2017,
Myanmar,2.2,2017,
Eritrea,2.1,2012,
Liechtenstein,2.1,2012,
Gambia,2.1,2016,
Guinea-Bissau,2.1,2012,
Bangladesh,2.0,2018,
Cambodia,1.9,2014,
Monaco,1.5,2017,
Democratic Republic of the Congo,1.5,2017,
South Sudan,1.5,2016,
Zambia,1.3,2012,
United Arab Emirates,1.3,2000,
Central African Republic,1.2,2012,
Equatorial Guinea,0.6,2003,
Suriname,,,
Nigeria,5.94,2018,
Somalia,,,
Bosnia and Herzegovina,,,
Montenegro,,,
North Korea,,,
Papua New Guinea,,,
