Rank,Country,Fertility rate  in 2020(births/woman)
1,Niger,6.74
2,Somalia,5.88
3,DR Congo,5.72
4,Mali,5.69
5,Chad,5.55
6,Angola,5.37
7,Burundi,5.24
8,Nigeria,5.25
9,Gambia,5.09
10,Burkina Faso,5.03
11,Tanzania,4.77
12,Mozambique,4.71
13,Uganda,4.70
14,Benin,4.70
15,Central African Republic,4.57
16,Guinea,4.55
17,South Sudan,4.54
18,Ivory Coast,4.54
19,Zambia,4.50
20,Senegal,4.49
21,Mauritania,4.45
22,Cameroon,4.44
23,Equatorial Guinea,4.35
24,GuineaBissau,4.33
25,Congo,4.32
26,Solomon Islands,4.31
27,Sudan,4.29
28,São Tomé and Príncipe,4.21
29,Afghanistan,4.18
30,Togo,4.20
31,Liberia,4.18
32,Sierra Leone,4.08
33,Comoros,4.07
34,Ethiopia,4.05
35,Malawi,4.05
36,Madagascar,3.98
37,Eritrea,3.93
38,Rwanda,3.93
39,Gabon,3.87
40,East Timor,3.85
41,Samoa,3.79
42,Ghana,3.77
43,Vanuatu,3.71
44,Yemen,3.61
45,Iraq,3.54
46,Tajikistan,3.52
47,Palestine,3.49
48,Zimbabwe,3.46
49,Kiribati,3.49
50,Papua New Guinea,3.48
51,Tonga,3.48
52,Pakistan,3.39
53,Kenya,3.37
54,Namibia,3.29
55,Egypt,3.24
56,Kazakhstan,3.13
57,Lesotho,3.07
58,Kyrgyzstan,3.00
59,Micronesia,2.97
60,Algeria,2.94
61,Eswatini,2.92
62,Israel,2.90
63,Uzbekistan,2.90
64,Haiti,2.84
65,Mongolia,2.83
66,Botswana,2.80
67,Oman,2.78
68,Guatemala,2.78
69,Syria,2.73
70,Fiji,2.73
71,Turkmenistan,2.70
72,Bolivia,2.65
73,Jordan,2.64
74,Djibouti,2.63
75,Laos,2.58
76,Philippines,2.49
77,Cambodia,2.45
78,Guyana,2.42
79,Panama,2.42
,World,2.40
80,Honduras,2.39
81,Paraguay,2.38
82,Ecuador,2.38
83,Suriname,2.37
84,South Africa,2.36
85,Morocco,2.35
86,Nicaragua,2.35
87 (1),Faroe Islands (Denmark),2.30
88,Dominican Republic,2.30
89,Seychelles,2.29
90 (2),Guam (US),2.27
91,Indonesia,2.27
92,Saudi Arabia,2.24
93,Belize,2.25
94,Venezuela,2.23
95,Argentina,2.23
96,Cape Verde,2.21
97,Peru,2.21
98,India,2.18
99,Libya,2.17
100,Sri Lanka,2.17
101,Tunisia,2.15
102,Iran,2.14
103,Myanmar (Burma),2.12
,Population replacement,2.10
104,Mexico,2.08
105,Kuwait,2.07
106,Lebanon,2.06
107,Georgia,2.05
108,Vietnam,2.05
109,Turkey,2.04
110 (4),U.S. Virgin Islands (US),2.03
111 (3),Greenland (Denmark),2.02
112,Grenada,2.02
113,El Salvador,2.00
114,Bangladesh,1.99
115,Antigua and Barbuda,1.98
116,Malaysia,1.97
117,Kosovo,1.95
118,Jamaica,1.95
119,Uruguay,1.95
120,Bahrain,1.94
121,Bhutan,1.93
122 (5),New Caledonia (France),1.92
123 (6),French Polynesia (France),1.91
124 (7),Aruba (Netherlands),1.90
125,North Korea,1.89
126,Saint Vincent and the Grenadines,1.85
127,Nepal,1.84
128,France,1.83
129,Qatar,1.83
130,Maldives,1.81
131,Brunei,1.80
132 (8),Saint Martin (France) (French part),1.80
133,Colombia,1.77
134,Armenia,1.76
135,Montenegro,1.75
136,Bahamas,1.73
137 (10),Bermuda (UK),1.73
138,Iceland,1.72
139,Costa Rica,1.72
140,Czech Republic,1.71
141,Brazil,1.71
142,Azerbaijan,1.70
143,Trinidad and Tobago,1.70
144,China,1.70
145,Denmark,1.67
146,Sweden,1.66
147,United States,1.64
148,Ireland,1.63
149,Barbados,1.63
150,New Zealand,1.61
151,Chile,1.61
152,Romania,1.60
153,Slovenia,1.60
154 (9),Curaçao (Netherlands),1.60
155,Cuba,1.59
156,Estonia,1.58
157,Australia,1.58
158,Albania,1.58
159,Slovakia,1.57
160,United Kingdom,1.56
161,Bulgaria,1.56
162,Hungary,1.56
163,Latvia,1.55
164,Netherlands,1.55
165,Belgium,1.55
166,Germany,1.53
167,Thailand,1.50
168,Channel Islands  (11)  Guernsey (UK) and (12)  Jersey (UK),1.50
169,Russia,1.50
170,Lithuania,1.48
171,Norway,1.48
172,Serbia,1.48
173,Croatia,1.48
174,Switzerland,1.46
175,Liechtenstein,1.46
176,Austria,1.44
177,Mauritius,1.44
178,Saint Lucia,1.41
179,Canada,1.40
180,Portugal,1.40
181,Poland,1.38
182,Belarus,1.38
183,United Arab Emirates,1.37
184,Finland,1.37
185,Luxembourg,1.37
186,Japan,1.34
187,Greece,1.34
188,Cyprus,1.31
189,North Macedonia,1.30
190,Moldova,1.28
191,Italy,1.24
192,Bosnia and Herzegovina,1.24
193 (13),Macau (China),1.24
194,Spain,1.23
195,Ukraine,1.22
196,Malta,1.13
197,Singapore,1.10
198 (15),Puerto Rico (US),0.90
199 (14),Hong Kong (China),0.87
200,South Korea,0.84
,Sovereign states: 185,
,Dependent territories: 15,
,World,2.40
,Major regions,
1,SubSaharan Africa (excluding high income),4.6
2,SubSaharan Africa,4.6
3,Arab world,3.1
4,Middle East and North Africa (excluding high income),2.8
5,Middle East and North Africa,2.7
6,South Asia,2.3
7,Latin America and Caribbean,2.0
8,Latin America and Caribbean (excluding high income),2.0
9,Europe and Central Asia (excluding high income),1.9
10,East Asia and Pacific (excluding high income),1.9
11,East Asia and Pacific,1.8
12,Europe and Central Asia,1.7
13,North America,1.6
14,Central Europe and the Baltics,1.5
,States’ size,
1,Pacific Island small states,3.5
2,Other small states,3.0
3,Small states,2.8
4,Caribbean small states,2.0
,International organizations,
1,OECD members,1.6
2,European Union,1.5
,Security situation,
