Rank,Country,Score,Change
1,Hong Kong,90.2,0
2,Singapore,89.4,0.6
3,New Zealand,84.4,0.2
4,Switzerland,81.9,0.2
5,Australia,80.9,0
6,Ireland,80.5,0.1
7,United Kingdom,78.9,0.9
8,Canada,77.7,0
9,United Arab Emirates,77.1,0
10,Taiwan,77.3,0.7
11,Iceland,77.1,0.1
12,United States,76.8,1.1
13,Netherlands,76.8,0.6
14,Denmark,76.7,0.1
15,Estonia,76.6,2.2
16,Georgia,75.9,0.3
17,Luxembourg,75.9,0.5
18,Chile,75.4,0.2
19,Sweden,75.2,1.1
20,Finland,74.9,0.8
21,Lithuania,74.2,1.1
22,Malaysia,74,0.5
23,Czech Republic,73.7,0.5
24,Germany,73.5,0.7
25,Mauritius,73,2.1
26,Norway,73,1.3
27,Israel,72.8,0.6
28,Qatar,72.6,0
29,South Korea,72.3,1.5
30,Japan,72.1,0.2
31,Austria,72,0.2
32,Rwanda,71.1,2
33,North Macedonia,71.1,0.2
34,Macau,71,0.1
35,Latvia,70.4,3.2
36,Botswana,69.5,0.4
37,Bulgaria,69,0.7
38,Saint Lucia,68.7,1.1
39,Jamaica,68.6,0.5
40,Uruguay,68.6,0.6
41,Malta,68.6,0.1
42,Romania,68.6,0.8
43,Thailand,68.3,1.2
44,Cyprus,68.1,0.3
45,Peru,67.8,0.9
46,Poland,67.8,0.7
47,Armenia,67.7,1
48,Belgium,67.3,0.2
49,Colombia,67.3,1.6
50,Panama,67.2,0.2
51,Kosovo,67,0.4
52,Albania,66.5,2
53,Jordan,66.5,1.6
54,Bahrain,66.4,1.3
55,Saint Vincent and the Grenadines,65.8,1.9
56,Indonesia,65.8,1.6
57,Spain,65.7,0.6
58,Slovenia,65.5,0.7
59,Kazakhstan,65.4,3.7
60,Azerbaijan,65.4,1.1
61,Costa Rica,65.3,0.3
62,Portugal,65.3,1.9
63,Brunei Darussalam,65.1,0.9
64,Hungary,65,1.7
65,Slovakia,65,0.3
66,Mexico,64.7,0.1
67,Barbados,64.7,7.7
68,Turkey,64.6,0.8
69,Serbia,63.9,1.4
70,Philippines,63.8,1.2
71,France,63.8,0.1
72,Dominica,63.6,0.9
73,Cabo Verde,63.1,3.1
74,Bhutan,62.9,1.1
75,Morocco,62.9,1
76,The Bahamas,62.9,0.4
77,Guatemala,62.6,0.8
78,Côte d'Ivoire,62.4,0.4
79,Kyrgyz Republic,62.3,0.5
80,Italy,62.2,0.3
81,Fiji,62.2,0.2
82,Samoa,62.2,0.7
83,Bosnia and Herzegovina,61.9,0.5
84,El Salvador,61.8,1.4
85,Paraguay,61.8,0.3
86,Croatia,61.4,0.4
