Country,Men,Women,Median,Age Gap,Age Ratio,Year,Source
Australia (more info),32.3,30.5,31.4,1.8,1.06,2019,
Fiji,27.7,24.1,25.9,3.6,1.15,25.9,
Kiribati,23.6,20.1,21.9,3.5,1.17,2009,
Marshall Islands,25.7,24.2,25,1.5,1.06,2011,
Micronesia,27.5,25.5,26.5,2,1.08,2010,
Nauru,22.8,21.2,22.0,1.6,1.08,2007,
New Zealand (more info),30.6,29.4,30.0,1.2,1.04,2019,
Palau,28.9,26.6,27.8,2.3,1.09,2005,
Papua New Guinea,25.0,21.4,23.2,3.6,1.17,2006,
Samoa,28.7,24.1,26.4,4.6,1.19,2009,
Solomon Islands,25.6,20.3,23.0,5.3,1.26,2007,
Tonga,25.0,23.6,24.3,1.4,1.06,2012,
Tuvalu,27.2,22.1,24.7,5.1,1.23,2007,
Vanuatu,24.4,20.8,22.6,3.6,1.17,2013,
