Country,gdp_debt,gini % ,alcohol consumption 2016,Average daily dietary energy consumption per capita(kilocalories),Median Age 2020,health expenditure per capita 2018,spending on education(% GDP),population growth,democracy index 2020,Homelessness population per 10k,Economic Freedom Score,milk consumption per capita(2013),"2019 mortality rate, under-5 (per 1000 live births)",literacy rate elderly(+65),% Islam,titles(total),% Buddhists,Obesity rate (%),intentional homicide Rate,% Jewish,Averagedownloadspeed(Mbit/s)(Ookla),% Christians,Oil production per capita2021 (bbl/day/million people),Anual nominal US,yes important %,Prevalecence of tobacco use 2000,gdp estimate un,number of internet users %,Fertility rate  in 2020(births/woman),HDI 2021,Age of first marriage(woman),Incarceration rate per 100000,Average yearly temperature (1961–1990 Celsius),Scientific publications per capita (in ppm),Life expentacy at birth,Total Suicides per 100 000,Equivalent to a 2-year degree or higher(%),Age of criminal responsibility,kg per capita 2002,military expenditures %gdp
gdp_debt,1.0,-0.22569687033934818,0.3087269099547977,0.3231794023143971,0.3727265178346964,0.44528361232757085,0.08582351963316162,-0.25401266450587306,0.3842334394418652,-0.18617065464149965,0.35868875435925945,0.35261672360909624,-0.305653829406901,0.26893783264338667,-0.19923214477365236,0.04793038308787551,0.010501474554627696,0.19580880875299003,-0.1407178290517302,-0.015169366472494398,0.18791172229217037,0.19203808238157766,-0.040305132566859005,0.39718109758329173,-0.3103016685158679,0.1737355891020792,0.44956561612136997,0.2869478662348893,-0.3208465933027071,0.4069564122430991,0.4163775871798536,-0.09367850759184923,-0.22556510024530235,0.5239233570646871,0.39590503772142277,-0.07449832446868228,0.10666626944896614,0.03499667985860867,0.5028243451695471,-0.14770671077078842
gini % ,-0.22569687033934818,1.0,-0.19447403093463403,-0.39952507541072835,-0.4718333118249233,-0.3198622059808816,0.07579608084076932,0.36893186337205836,-0.15148430183654352,0.1139187042026792,-0.2742876357661202,-0.4615122847932442,0.31110146056613125,-0.21260183880646116,-0.158258533847895,-0.0453678952259394,-0.04424579083208915,-0.09939609733615311,0.41627644008359904,-0.016651125736838624,-0.21340029291392032,0.2534373924069786,-0.05012504988454307,-0.27547883472828916,0.4216780363111202,-0.35106050818582113,-0.31084801419090374,-0.40119311262144286,0.3252467627160385,-0.3798722974608658,-0.3046706452334175,0.22842202552485702,0.47824694267541584,-0.40177886247072864,-0.4341373017172882,0.24425335057820743,-0.3267626408654546,-0.11266121688426645,-0.2607666155509119,0.09030045285573585
alcohol consumption 2016,0.3087269099547977,-0.194474030934634,0.9999999999999998,0.35939105922193426,0.5948832806889879,0.48931009681427706,0.21008392494199798,-0.549166593523383,0.545349581807256,-0.3397188156703959,0.405870647988905,0.4778106954097079,-0.35141188076368485,0.5286817613049305,-0.6646039957231772,0.14891077332027247,-0.03041721284459949,0.1483032895842323,0.0015005689982637265,-0.013720263981889778,0.3283978920305899,0.5430390275637021,-0.2192924007199722,0.46414217820772086,-0.6660568290175248,0.23642840951941227,0.4181168785320985,0.4354196942361808,-0.405319979526588,0.505581503313508,0.48717589771250525,0.1273232236358617,-0.518553091212173,0.4709110386108554,0.35625980628715687,0.1712076244277312,0.1707403574272086,0.297413545090228,0.5305762795624106,-0.2448479352650349
Average daily dietary energy consumption per capita(kilocalories),0.3231794023143971,-0.3995250754107284,0.3593910592219342,1.0,0.7509622920598775,0.6809197676020279,0.2344920722073407,-0.5612619264279322,0.48693536380131686,-0.3124453252349877,0.563953957901857,0.6970207694130587,-0.6749755255078432,0.4429045160677996,-0.08382938003028002,0.2895276129347886,-0.07539764315501513,0.5830940583124496,-0.25647725749546896,0.2162838367074412,0.30175414738657036,-0.03194915293936111,0.26153616157504345,0.631984808414952,-0.5448287988599556,0.20436755644069707,0.6202323868384179,0.7561767008550071,-0.6683316069885564,0.8078801166907709,0.6845704257299596,0.10453679524022172,-0.48586582345949314,0.6049135927299751,0.7550953423838537,-0.15925098617965336,-0.034189904027912804,0.22703481583080765,0.6491610298996269,0.1693116516120384
Median Age 2020,0.37272651783469635,-0.4718333118249232,0.5948832806889879,0.7509622920598776,1.0,0.6921288216856136,0.22910414560102263,-0.8618602716587247,0.6003390534168506,-0.36421498057446616,0.5630088918991155,0.7126756955530538,-0.7995612322927512,0.7261342807189517,-0.36861220586042404,0.30830088636727243,0.024536282187889353,0.4627585465802848,-0.21739321520966656,0.044504392077114235,0.3785390824641409,0.1830713652460854,0.06503170267475956,0.6056241471141551,-0.7288146166781886,0.41431895170051464,0.5888190122569394,0.8285522701147459,-0.8820775470597199,0.8880299825574669,0.7471948373926584,0.14211549817178604,-0.6368194806902286,0.6476094648578531,0.8042745943995079,-0.06783347301747925,0.06021935690268308,0.27691974347817094,0.6785996560619661,-0.07245354857581854
health expenditure per capita 2018,0.44528361232757085,-0.3198622059808816,0.4893100968142771,0.6809197676020278,0.6921288216856136,1.0,0.2767084229439058,-0.42215911072338,0.6449109689232851,-0.2790444642475959,0.6524250267158633,0.7054649261093768,-0.5508258888424169,0.32523867084694036,-0.29086677041949266,0.3653451254346687,-0.09215083447450649,0.4174070440312205,-0.2308248209744721,0.30707247744440996,0.5805726419631728,0.15388326129722224,0.23820756280002017,0.8090485104875885,-0.670597667723182,0.20525638209112618,0.919417978156983,0.6667138303028957,-0.5625892883256663,0.7730460982668705,0.6926897960350769,0.023153093829973208,-0.5302122783260819,0.8616968723760481,0.6958734961232838,-0.029782355539133606,0.23149239217207532,0.2118848985997053,0.7655987633840224,0.02768518915612616
spending on education(% GDP),0.08582351963316162,0.07579608084076933,0.210083924941998,0.2344920722073407,0.22910414560102263,0.2767084229439058,0.9999999999999999,-0.1982833559557865,0.33586228396220696,-0.07053631388508008,0.00988162177998666,0.25451540934864697,-0.2502814485760198,0.18300124433163198,-0.21838740993814043,-0.0377321830866853,-0.17317213349042979,0.23997007316252114,0.1482186438674771,0.04891682390206582,0.11851525900443229,0.1735002118587847,-0.06256852206577225,0.18758268124235403,-0.3756515033660514,0.050838369741989846,0.2018642354562719,0.2026799389851428,-0.2499577154628868,0.25783859934730335,0.3391202067301193,0.1582902788752227,-0.23349361440926997,0.2818427679690712,0.2031989287347379,0.20817695703712516,-0.03896684437357195,0.12243873017841175,0.22974747566069292,0.015260986169541711
population growth,-0.25401266450587306,0.36893186337205836,-0.5491665935233832,-0.5612619264279323,-0.8618602716587246,-0.42215911072338,-0.1982833559557865,1.0,-0.5146366386170832,0.1849998537479364,-0.3906576376446661,-0.55541038246635,0.6709680087733669,-0.7115864762720654,0.4282048982438051,-0.2458373659739269,-0.05324986200859459,-0.3628254551374357,0.044391484770435266,0.018440095114306467,-0.2223207093714877,-0.25999252560922115,0.13964621346130993,-0.33940550144439285,0.6001797399915889,-0.4735794195551304,-0.3005074091415239,-0.6224100777869428,0.8189262884272391,-0.6649426753036167,-0.61502606286102,-0.20298769727436844,0.5703516061825951,-0.39185086545150083,-0.6098382889717077,-0.004190577515530087,-0.0035367733815575564,-0.24226326823071428,-0.44519487341955766,0.13264958056329218
democracy index 2020,0.3842334394418653,-0.15148430183654352,0.545349581807256,0.4869353638013168,0.6003390534168506,0.6449109689232851,0.33586228396220696,-0.5146366386170833,1.0,-0.39004899683773325,0.6325471483363027,0.550314005411153,-0.5058353700106036,0.389551556969644,-0.5529070342066759,0.1577480464565548,-0.08340037690893091,0.2529822110919062,0.011183732157485209,0.1346289435651148,0.32229305452464385,0.4040953941042997,-0.09816896615766844,0.6147788941061291,-0.5585658283611331,0.27627962931968125,0.595496296588174,0.5309159660681211,-0.5376940094301746,0.6359819838692065,0.6431684368654229,0.016924070224444622,-0.41914802968919673,0.6497705027761876,0.5759466013293866,0.06443752868629764,-0.01714761065014391,0.0858736431671412,0.626153107695512,-0.1924718741105055
Homelessness population per 10k,-0.18617065464149965,0.11391870420267922,-0.3397188156703959,-0.3124453252349877,-0.3642149805744661,-0.2790444642475959,-0.07053631388508008,0.1849998537479364,-0.3900489968377333,1.0,-0.1803772196845707,-0.21847426150677637,0.33375585758722964,-0.273581922503733,0.34575706389769917,-0.15120941327948606,-0.10456366954411359,-0.0802763819422574,0.203517043182123,-0.06937129355227417,-0.07488183851879786,-0.17367589901840816,-0.1277750892361768,-0.2592516123990068,0.29634273992258475,-0.08090327045707157,-0.2783361693769791,-0.29874012794814747,0.30762916321262784,-0.40007348788999386,-0.24390129598891575,-0.2497607987475246,0.19178207541041029,-0.28491680292002713,-0.31609885421317985,-0.15439342541375814,0.013932505917702535,-0.20439424748345536,-0.3419456325406203,0.005853220644812672
